district,d_total,r_total,other_total,total_votes,d_percent,r_percent,other_percent,Winner,margin,Data source,@
AK-AL,"140,026","184,458","13,693","338,177",41.41%,54.54%,4.05%,Trump,-13.10%,Alaska State Elections,
AL-01,"73,202","257,309","3,919","334,430",21.89%,76.94%,1.17%,Trump,-55.10%,Drew Savicki,drewsav
AL-02,"155,343","131,501","3,386","290,230",53.52%,45.31%,1.17%,Harris,8.20%,Drew Savicki,drewsav
AL-03,"82,876","230,168","3,498","316,542",26.18%,72.71%,1.11%,Trump,-46.50%,Drew Savicki,drewsav
AL-04,"49,720","258,636","3,180","311,536",15.96%,83.02%,1.02%,Trump,-67.10%,Drew Savicki,drewsav
AL-05,"124,533","233,123","6,507","364,163",34.20%,64.02%,1.79%,Trump,-29.80%,Drew Savicki,drewsav
AL-06,"104,267","240,522","6,474","351,263",29.68%,68.47%,1.84%,Trump,-38.80%,Drew Savicki,drewsav
AL-07,"182,469","111,356","3,102","296,927",61.45%,37.50%,1.04%,Harris,23.90%,Drew Savicki,drewsav
AR-01,"72,184","196,035","5,228","273,447",26.40%,71.69%,1.91%,Trump,-45.30%,Drew Savicki,drewsav
AR-02,"131,088","180,710","7,701","319,499",41.03%,56.56%,2.41%,Trump,-15.50%,Drew Savicki,drewsav
AR-03,"112,073","189,161","8,438","309,672",36.19%,61.08%,2.72%,Trump,-24.90%,Drew Savicki,drewsav
AR-04,"81,560","193,335","5,163","280,058",29.12%,69.03%,1.84%,Trump,-39.90%,Drew Savicki,drewsav
AZ-01,"216,232","230,237","6,147","452,616",47.77%,50.87%,1.36%,Trump,-3.10%,Drew Savicki,drewsav
AZ-02,"174,927","237,247","4,739","416,913",41.96%,56.91%,1.14%,Trump,-14.90%,Drew Savicki,drewsav
AZ-03,"147,522","62,762","3,824","214,108",68.90%,29.31%,1.79%,Harris,39.60%,Drew Savicki,drewsav
AZ-04,"182,893","159,723","6,482","349,098",52.39%,45.75%,1.86%,Harris,6.60%,Drew Savicki,drewsav
AZ-05,"175,673","264,571","6,512","446,756",39.32%,59.22%,1.46%,Trump,-19.90%,Drew Savicki,drewsav
AZ-06,"216,024","219,323","6,421","441,768",48.90%,49.65%,1.45%,Trump,-0.70%,Drew Savicki,drewsav
AZ-07,"170,352","108,028","4,097","282,477",60.31%,38.24%,1.45%,Harris,22.10%,Drew Savicki,drewsav
AZ-08,"162,183","226,186","5,016","393,385",41.23%,57.50%,1.28%,Trump,-16.30%,Drew Savicki,drewsav
AZ-09,"137,054","262,165","4,409","403,628",33.96%,64.95%,1.09%,Trump,-31.00%,Drew Savicki,drewsav
CA-01,"118,090","199,649","9,154","326,893",36.12%,61.07%,2.80%,Trump,-24.90%,sz117649,sz117649
CA-02,"276,863","100,474","13,263","390,600",70.88%,25.72%,3.40%,Harris,45.20%,"Del Norte, Humboldt, Marin, Mendocino, Sonoma, Trinity Counties",
CA-03,"201,922","218,497","13,677","434,096",46.52%,50.33%,3.15%,Trump,-3.80%,sz117649,sz117649
CA-04,"225,203","115,410","11,056","351,669",64.04%,32.82%,3.14%,Harris,31.20%,"Lake, Napa, Solano, Sonoma, Yolo Counties",
CA-05,"151,686","219,092","9,727","380,505",39.86%,57.58%,2.56%,Trump,-17.70%,"Stanislaus, El Dorado, Fresno, Tuolumne, Calaveras, Amador, Madera, and Mariposa Counties",
CA-06,"166,463","124,666","10,283","301,412",55.23%,41.36%,3.41%,Harris,13.90%,Sacramento County,
CA-07,"195,104","103,118","10,976","309,198",63.10%,33.35%,3.55%,Harris,29.70%,"Sacramento, Solano, Yolo Counties",
CA-08,"200,015","75,771","9,330","285,116",70.15%,26.58%,3.27%,Harris,43.60%,sz117649,sz117649
CA-09,"122,904","127,491","7,808","258,203",47.60%,49.38%,3.02%,Trump,-1.80%,sz117649,sz117649
CA-10,"247,321","119,198","12,771","379,290",65.21%,31.43%,3.37%,Harris,33.80%,"Alameda, Contra Costa Counties",
CA-11,"295,463","50,870","14,849","361,182",81.80%,14.08%,4.11%,Harris,67.70%,S.F. County,
CA-12,"269,148","33,869","15,369","318,386",84.54%,10.64%,4.83%,Harris,73.90%,Rob Pyers,rpyers
CA-13,"100,559","112,433","6,106","219,098",45.90%,51.32%,2.79%,Trump,-5.40%,Jacob,
CA-14,"191,274","88,263","11,241","290,778",65.78%,30.35%,3.87%,Harris,35.40%,Alameda County,
CA-15,"220,603","74,250","10,737","305,590",72.19%,24.30%,3.51%,Harris,47.90%,"SF, San Mateo Counties",
CA-16,"249,344","82,398","12,323","344,065",72.47%,23.95%,3.58%,Harris,48.50%,Rob Pyers,rpyers
CA-17,"176,438","76,249","11,636","264,323",66.75%,28.85%,4.40%,Harris,37.90%,"Alameda, Santa Clara Counties",
CA-18,"149,269","79,571","7,397","236,237",63.19%,33.68%,3.13%,Harris,29.50%,"Monterey, San Benito, Santa Clara, Santa Cruz Counties",
CA-19,"246,402","116,909","13,201","376,512",65.44%,31.05%,3.51%,Harris,34.40%,"Monterey, San Luis Obispo, Santa Clara, Santa Cruz Counties",
CA-20,"110,642","210,246","7,558","328,446",33.69%,64.01%,2.30%,Trump,-30.30%,Rob Pyers,rpyers
CA-21,"101,220","93,644","5,285","200,149",50.57%,46.79%,2.64%,Harris,3.80%,Jacob,
CA-22,"79,359","89,469","4,549","173,377",45.77%,51.60%,2.62%,Trump,-5.80%,"Kern, Kings, Tulare Counties",
CA-23,"110,434","156,700","7,322","274,456",40.24%,57.09%,2.67%,Trump,-16.90%,"Kern, Los Angeles, San Bernardino Counties",
CA-24,"214,703","126,489","10,985","352,177",60.96%,35.92%,3.12%,Harris,25.00%,"San Luis Obispo, Santa Barbara, Ventura Counties",
CA-25,"125,529","119,328","5,870","250,727",50.07%,47.59%,2.34%,Harris,2.50%,Leon Sit,politicsmaps
CA-26,"190,849","145,316","9,760","345,925",55.17%,42.01%,2.82%,Harris,13.20%,"Los Angeles, Ventura Counties",
CA-27,"157,170","145,061","9,186","311,417",50.47%,46.58%,2.95%,Harris,3.90%,L.A. Co.,
CA-28,"204,263","115,237","11,017","330,517",61.80%,34.87%,3.33%,Harris,26.90%,Leon Sit,politicsmaps
CA-29,"154,257","72,714","7,344","234,315",65.83%,31.03%,3.13%,Harris,34.80%,L.A. Co.,
CA-30,"233,138","94,036","11,644","338,818",68.81%,27.75%,3.44%,Harris,41.10%,L.A. Co.,
CA-31,"151,581","106,588","8,016","266,185",56.95%,40.04%,3.01%,Harris,16.90%,L.A. Co.,
CA-32,"224,304","114,803","10,213","349,320",64.21%,32.86%,2.92%,Harris,31.30%,"Los Angeles, Ventura Counties",
CA-33,"129,054","107,755","7,079","243,888",52.92%,44.18%,2.90%,Harris,8.70%,San Bernard. Co.,
CA-34,"156,740","48,092","9,707","214,539",73.06%,22.42%,4.52%,Harris,50.60%,L.A. Co.,
CA-35,"131,010","105,937","7,176","244,123",53.67%,43.39%,2.94%,Harris,10.30%,Leon Sit,politicsmaps
