GEO_ID,NAME,S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,S1501_C01_015E,S1501_C01_016E,S1501_C01_017E,S1501_C01_018E,S1501_C01_019E,S1501_C01_020E,S1501_C01_021E,S1501_C01_022E,S1501_C01_023E,S1501_C01_024E,S1501_C01_025E,S1501_C01_026E,S1501_C01_027E,college_educated
Geography,Geographic Area Name,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Some college or associate's degree,Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),"Population 25 years and over!!Some college, no degree",Population 25 years and over!!Associate's degree,Population 25 years and over!!Bachelor's degree,Population 25 years and over!!Graduate or professional degree,Population 25 years and over!!High school graduate or higher,Population 25 years and over!!Bachelor's degree or higher,Population 25 to 34 years,Population 25 to 34 years!!High school graduate or higher,Population 25 to 34 years!!Bachelor's degree or higher,Population 35 to 44 years,Population 35 to 44 years!!High school graduate or higher,Population 35 to 44 years!!Bachelor's degree or higher,Population 45 to 64 years,Population 45 to 64 years!!High school graduate or higher,Population 45 to 64 years!!Bachelor's degree or higher,Population 65 years and over,Population 65 years and over!!High school graduate or higher,Population 65 years and over!!Bachelor's degree or higher,Total-CollegeEducated
0500000US01001,"Autauga County, Alabama",4592,616,1823,1828,325,40767,601,3362,13321,8719,3234,6518,5012,36804,11530,7605,6851,1944,7902,7303,2608,15786,14480,4655,9474,8170,2323,11855
0500000US01003,"Baldwin County, Alabama",16829,2507,6765,5936,1621,171988,3540,10681,47369,36858,17132,35348,21060,157767,56408,26412,24211,7977,29266,26871,10143,64984,59740,21891,51326,46945,16397,58029
0500000US01005,"Barbour County, Alabama",1948,188,848,863,49,17628,1222,2689,6629,3546,1521,1179,842,13717,2021,3400,2426,338,3109,2481,296,6238,5048,681,4881,3762,706,2070
0500000US01007,"Bibb County, Alabama",1763,238,863,574,88,15931,1036,2096,6552,3115,1305,1121,706,12799,1827,3111,2662,425,3059,2302,165,6005,4755,862,3756,3080,375,1915
0500000US01009,"Blount County, Alabama",4563,730,1960,1697,176,40991,2598,4495,14600,8391,4521,4088,2298,33898,6386,7023,5903,1144,7118,6069,1421,15831,12997,2303,11019,8929,1518,6562
0500000US01011,"Bullock County, Alabama",674,205,273,196,0,7378,696,1219,2994,1581,224,493,171,5463,664,1681,1201,165,1059,758,84,2821,2115,211,1817,1389,204,664
0500000US01013,"Butler County, Alabama",1424,166,728,456,74,13164,587,1046,6182,2367,1170,1046,766,11531,1812,2095,1941,213,2256,2018,416,4787,4289,701,4026,3283,482,1886
0500000US01015,"Calhoun County, Alabama",12685,1355,4839,5735,756,78627,3383,7557,27117,17821,6595,9842,6312,67687,16154,14638,13259,2824,13983,11839,3113,29067,24815,5258,20939,17774,4959,16910
0500000US01017,"Chambers County, Alabama",2825,463,1066,1185,111,24484,1444,2566,9415,4928,2560,2386,1185,20474,3571,4431,4117,812,3755,3274,601,9414,8106,1024,6884,4977,1134,3682
0500000US01019,"Cherokee County, Alabama",1700,214,819,633,34,18777,996,2033,7015,3527,2212,1726,1268,15748,2994,2734,2251,306,2705,2324,476,7335,6251,1566,6003,4922,646,3028
0500000US01021,"Chilton County, Alabama",3787,535,1979,1221,52,30747,1753,3109,12680,5990,2527,2858,1830,25885,4688,5624,4836,689,5760,4810,1034,11677,9810,1632,7686,6429,1333,4740
0500000US01023,"Choctaw County, Alabama",1035,111,470,422,32,8998,527,893,3642,1998,686,891,361,7578,1252,1260,986,216,1178,1069,212,3578,3085,478,2982,2438,346,1284
0500000US01025,"Clarke County, Alabama",1886,328,841,607,110,15966,673,1679,6765,3194,1192,1545,918,13614,2463,2555,2296,484,2596,2351,314,6113,5067,753,4702,3900,912,2573
0500000US01027,"Clay County, Alabama",997,247,318,386,46,10259,579,1190,3797,2109,1021,1154,409,8490,1563,1717,1546,150,1632,1343,274,4000,3396,762,2910,2205,377,1609
0500000US01029,"Cleburne County, Alabama",1066,199,473,358,36,10861,470,1116,4230,2210,857,1201,777,9275,1978,1995,1699,373,1645,1388,315,4104,3636,862,3117,2552,428,2014
0500000US01031,"Coffee County, Alabama",4282,745,1683,1423,431,36904,1678,3480,10732,8348,4721,4497,3448,31746,7945,6734,5929,1176,7257,6190,1895,13636,12062,2794,9277,7565,2080,8376
0500000US01033,"Colbert County, Alabama",4359,629,1864,1567,299,40978,1250,3852,14160,9323,4086,5274,3033,35876,8307,7038,6427,1575,6965,5990,1697,15375,13438,3192,11600,10021,1843,8606
0500000US01035,"Conecuh County, Alabama",979,167,646,164,2,8127,195,822,3908,1595,540,565,502,7110,1067,1181,1043,57,1132,995,144,3040,2793,452,2774,2279,414,1069
0500000US01037,"Coosa County, Alabama",646,247,244,137,18,7935,348,1019,3135,1603,650,815,365,6568,1180,1018,700,38,1040,870,142,3319,2863,616,2558,2135,384,1198
0500000US01039,"Covington County, Alabama",2869,599,1210,941,119,26459,1031,2625,9745,5332,3181,2596,1949,22803,4545,4111,3683,591,4320,3680,740,9780,8499,1710,8248,6941,1504,4664
0500000US01041,"Crenshaw County, Alabama",1024,194,555,263,12,9104,557,1029,3760,1492,736,1046,484,7518,1530,1558,1354,278,1428,1265,289,3500,2897,503,2618,2002,460,1542
0500000US01043,"Cullman County, Alabama",6931,1121,2532,2970,308,62400,2748,6615,19333,14423,7371,7754,4156,53037,11910,11153,10202,2055,10638,9112,2407,23665,19557,3997,16944,14166,3451,12218
0500000US01045,"Dale County, Alabama",4166,541,1666,1537,422,33832,1577,3253,10549,8401,3513,4370,2169,29002,6539,6941,6271,1464,6003,5096,1536,11996,10029,1932,8892,7606,1607,6961
0500000US01047,"Dallas County, Alabama",3083,458,1589,945,91,25507,770,2531,9958,5233,2677,2868,1470,22206,4338,4214,3975,850,4210,3742,741,9660,8693,1402,7423,5796,1345,4429
0500000US01049,"DeKalb County, Alabama",6040,892,2589,2098,461,48464,5010,5194,16307,9748,5478,4115,2612,38260,6727,8591,7692,1098,8687,6673,1342,18679,14245,2747,12507,9650,1540,7188
0500000US01051,"Elmore County, Alabama",7498,1246,3420,2498,334,61916,1933,4513,21341,12917,6108,9976,5128,55470,15104,12412,11348,3027,11587,10392,2559,23673,21180,5591,14244,12550,3927,15438
0500000US01053,"Escambia County, Alabama",2843,501,1241,983,118,25499,1305,3149,11014,4549,2297,2080,1105,21045,3185,4741,3906,469,4590,3513,467,9254,7904,1410,6914,5722,839,3303
0500000US01055,"Etowah County, Alabama",8151,1083,3143,3555,370,72570,3375,6946,24651,17152,7763,7698,4985,62249,12683,12530,11239,1927,12197,10434,2600,27724,23271,4378,20119,17305,3778,13053
0500000US01057,"Fayette County, Alabama",1501,341,730,430,0,11220,598,1059,4252,2514,1047,1107,643,9563,1750,1721,1549,165,1887,1544,304,4117,3540,579,3495,2930,702,1750
0500000US01059,"Franklin County, Alabama",2797,642,1193,812,150,21156,1429,2911,8336,3931,1399,2036,1114,16816,3150,3768,3064,413,3763,3005,724,8132,6466,1361,5493,4281,652,3300
0500000US01061,"Geneva County, Alabama",1847,411,863,501,72,18969,1156,2029,7086,4193,1979,1812,714,15784,2526,2973,2671,505,3101,2419,394,7439,6419,1087,5456,4275,540,2598
0500000US01063,"Greene County, Alabama",693,129,174,277,113,5274,211,738,2407,859,401,396,262,4325,658,858,846,99,674,618,46,1924,1633,310,1818,1228,203,771
0500000US01065,"Hale County, Alabama",1266,279,565,416,6,9968,597,1208,3812,1677,1002,1100,572,8163,1672,1645,1130,497,1738,1661,314,3649,3180,463,2936,2192,398,1678
0500000US01067,"Henry County, Alabama",1158,213,446,426,73,12722,712,1548,4119,2422,1163,1805,953,10462,2758,1936,1524,253,2055,1699,448,4658,4079,1250,4073,3160,807,2831
0500000US01069,"Houston County, Alabama",8326,1129,3584,3223,390,74490,2846,6540,23903,16962,7279,10662,6298,65104,16960,13572,12230,2705,13572,11858,3531,27557,24174,6527,19789,16842,4197,17350
0500000US01071,"Jackson County, Alabama",3966,739,1764,1336,127,37890,2046,4753,14353,7405,3441,3583,2309,31091,5892,5993,5354,832,6314,5173,858,14579,11722,2582,11004,8842,1620,6019
0500000US01073,"Jefferson County, Alabama",61061,6041,20939,25499,8582,454593,11311,29639,117710,95423,37144,96623,66743,413643,163366,94922,88346,40458,86785,78539,35568,162704,147954,55120,110182,98804,32220,171948
0500000US01075,"Lamar County, Alabama",898,119,435,320,24,9826,504,1078,4031,2200,874,678,461,8244,1139,1517,1374,181,1531,1419,234,3715,3208,440,3063,2243,284,1163
0500000US01077,"Lauderdale County, Alabama",11558,632,3867,6097,962,64931,2026,4919,21819,13336,5245,10681,6905,57986,17586,11256,10407,3041,10646,9755,3089,23857,21035,6337,19172,16789,5119,18548
0500000US01079,"Lawrence County, Alabama",2580,395,1244,812,129,23380,1194,2416,9616,4645,1857,2421,1231,19770,3652,3957,3752,620,3794,3279,824,9401,7659,1262,6228,5080,946,3781
0500000US01081,"Lee County, Alabama",30221,2151,6814,17841,3415,109875,3327,6094,23949,21020,10070,24876,20539,100454,45415,24315,23017,11735,22063,20684,9781,40527,36634,15901,22970,20119,7998,48830
0500000US01083,"Limestone County, Alabama",8030,1028,2969,3416,617,75594,3305,6097,19932,16275,7011,14425,8549,66192,22974,14098,13056,4505,15381,13145,5480,29571,26299,8656,16544,13692,4333,23591
0500000US01085,"Lowndes County, Alabama",810,179,456,103,72,6999,385,789,3079,1038,737,636,335,5825,971,1194,1088,128,1075,848,228,2723,2321,267,2007,1568,348,1043
0500000US01087,"Macon County, Alabama",4346,261,1061,2889,135,11661,393,1449,3699,2888,814,1311,1107,9819,2418,1914,1623,282,1424,1188,234,4396,3858,911,3927,3150,991,2553
0500000US01089,"Madison County, Alabama",38222,2910,10913,18379,6020,272559,6157,14037,52261,54791,20780,73736,50797,252365,124533,56207,52742,26623,50830,47288,24850,104126,96296,47837,61396,56039,25223,130553
0500000US01091,"Marengo County, Alabama",1809,390,625,697,97,12932,891,969,4453,2644,1335,1562,1078,11072,2640,1855,1387,410,2243,1984,450,4992,4533,1138,3842,3168,642,2737
0500000US01093,"Marion County, Alabama",2262,441,682,972,167,20753,1174,2539,7491,4518,2368,1752,911,17040,2663,3337,3008,438,3167,2839,526,8092,6530,1081,6157,4663,618,2830
0500000US01095,"Marshall County, Alabama",8088,1401,3199,3091,397,65093,4508,5633,21272,12963,6835,9466,4416,54952,13882,11911,10470,2640,11715,9235,2002,24711,21067,5853,16756,14180,3387,14279
0500000US01097,"Mobile County, Alabama",36238,4386,14270,14946,2636,280248,7085,23719,94779,59765,24417,45444,25039,249444,70483,56921,51756,14825,51100,45994,15236,102119,90618,24169,70108,61076,16253,73119
0500000US01099,"Monroe County, Alabama",1920,376,1078,429,37,13506,397,1816,6154,2554,1051,842,692,11293,1534,1728,1559,153,2277,2071,242,5358,4511,622,4143,3152,517,1571
0500000US01101,"Montgomery County, Alabama",21891,2277,8747,8990,1877,150598,5064,11737,39432,31413,11336,30013,21603,133797,51616,31515,28667,10404,28583,25764,10388,54538,47834,18940,35962,31532,11884,53493
0500000US01103,"Morgan County, Alabama",9765,1535,4463,3202,565,85093,5267,7425,26768,18809,7048,12989,6787,72401,19776,14786,13032,2460,15617,12655,4382,32567,27609,8304,22123,19105,4630,20341
0500000US01105,"Perry County, Alabama",1267,75,381,803,8,5211,195,734,2220,839,345,545,333,4282,878,514,480,87,839,762,102,2127,1776,393,1731,1264,296,886
