Fact,Fact Note,United States,,Alabama,,Alaska,Value Note for Alaska,Arizona,,Arkansas,,California,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Washington,,West Virginia,,Wisconsin,,Wyoming
"Population estimates, July 1, 2024, (V2024)",,"340,110,988",,"5,157,699",,"740,133",,"7,582,384",,"3,088,354",,"39,431,263","924,669",,"7,227,750",,"31,290,831",,"3,503,613",,"648,493",,"8,811,195","11,883,304",,"4,095,393",,"4,272,371",,"13,078,751",,"1,112,308",,"5,478,831","1,409,032",,"9,500,851",,"2,130,256",,"19,867,248",,"11,046,024",,"796,568","5,793,151",,"2,943,045",,"6,245,466",,"1,137,233",,"2,005,465",,"3,267,467","4,588,372",,"4,597,740",,"1,405,012",,"6,263,220",,"7,136,171",,"10,140,459",,"1,446,146",,"2,001,619",,"12,710,158",,"6,924,275",,"3,241,488",,"2,970,606",,"5,957,493",,"3,675,069",,"1,051,917",,"702,250",,"23,372,215",,"11,180,878",,"7,958,180",,"1,769,979",,"5,960,975",,"587,618"
"Population estimates, July 1, 2023, (V2023)",,"334,914,895",,"5,108,468",,"733,406",,"7,431,344",,"3,067,732",,"38,965,193","919,318",,"7,126,489",,"30,503,301",,"3,417,734",,"647,464",,"8,715,698","11,785,935",,"4,053,824",,"4,233,358",,"12,961,683",,"1,095,962",,"5,373,555","1,402,054",,"9,290,841",,"2,114,371",,"19,571,216",,"10,835,491",,"783,926","5,737,915",,"2,939,690",,"6,196,156",,"1,132,812",,"1,978,379",,"3,194,176","4,526,154",,"4,573,749",,"1,395,722",,"6,180,253",,"7,001,399",,"10,037,261",,"1,435,138",,"1,964,726",,"12,549,689",,"6,862,199",,"3,207,004",,"2,940,546",,"5,877,610",,"3,617,176",,"1,031,890",,"678,972",,"22,610,726",,"11,029,227",,"7,812,880",,"1,770,071",,"5,910,955",,"584,057"
"Population estimates base, April 1, 2020, (V2024)",,"331,515,736",,"5,025,369",,"733,395",,"7,158,110",,"3,011,553",,"39,555,674","886,729",,"6,912,347",,"29,149,458",,"3,271,608",,"643,082",,"8,631,388","11,799,453",,"3,959,405",,"4,237,224",,"13,002,909",,"1,097,354",,"5,118,252","1,377,546",,"9,289,014",,"2,117,555",,"20,203,772",,"10,441,499",,"779,046","5,706,692",,"2,961,278",,"6,154,854",,"1,084,216",,"1,961,996",,"3,105,595","4,506,302",,"4,657,874",,"1,363,196",,"6,181,629",,"7,033,132",,"10,079,338",,"1,455,252",,"1,839,140",,"12,821,814",,"6,786,587",,"3,190,546",,"2,937,745",,"5,775,324",,"3,607,701",,"989,955",,"689,545",,"21,538,192",,"10,713,755",,"7,707,586",,"1,793,736",,"5,894,170",,"576,844"
"Population estimates base, April 1, 2020, (V2023)",,"331,464,948",,"5,024,294",,"733,374",,"7,157,902",,"3,011,490",,"39,538,212","886,668",,"6,910,786",,"29,145,459",,"3,271,614",,"643,077",,"8,631,373","11,799,331",,"3,959,411",,"4,237,279",,"13,002,788",,"1,097,371",,"5,118,422","1,377,524",,"9,289,039",,"2,117,525",,"20,202,320",,"10,439,459",,"779,079","5,706,804",,"2,961,306",,"6,154,889",,"1,084,244",,"1,961,965",,"3,104,617","4,506,297",,"4,657,785",,"1,363,177",,"6,177,253",,"7,032,933",,"10,077,674",,"1,455,274",,"1,839,117",,"12,813,469",,"6,785,442",,"3,190,427",,"2,937,835",,"5,773,707",,"3,605,912",,"989,946",,"689,548",,"21,538,216",,"10,713,771",,"7,705,267",,"1,793,713",,"5,893,713",,"576,850"
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)",,2.60%,,2.60%,,0.90%,,5.90%,,2.60%,,-0.30%,4.30%,,4.60%,,7.30%,,7.10%,,0.80%,,2.10%,0.70%,,3.40%,,0.80%,,0.60%,,1.40%,,7.00%,2.30%,,2.30%,,0.60%,,-1.70%,,5.80%,,2.20%,1.50%,,-0.60%,,1.50%,,4.90%,,2.20%,,5.20%,1.80%,,-1.30%,,3.10%,,1.30%,,1.50%,,0.60%,,-0.60%,,8.80%,,-0.90%,,2.00%,,1.60%,,1.10%,,3.20%,,1.90%,,6.30%,,1.80%,,8.50%,,4.40%,,3.30%,,-1.30%,,1.10%,,1.90%
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)",,1.00%,,1.70%,,Z,,3.80%,,1.90%,,-1.40%,3.70%,,3.10%,,4.70%,,4.50%,,0.70%,,1.00%,-0.10%,,2.40%,,-0.10%,,-0.30%,,-0.10%,,5.00%,1.80%,,Z,,-0.10%,,-3.10%,,3.80%,,0.60%,0.50%,,-0.70%,,0.70%,,4.50%,,0.80%,,2.90%,0.40%,,-1.80%,,2.40%,,Z,,-0.40%,,-0.40%,,-1.40%,,6.80%,,-2.10%,,1.10%,,0.50%,,0.10%,,1.80%,,0.30%,,4.20%,,-1.50%,,5.00%,,2.90%,,1.40%,,-1.30%,,0.30%,,1.20%
"Population, Census, April 1, 2020",,"331,449,281",,"5,024,279",,"733,391",,"7,151,502",,"3,011,524",,"39,538,223","886,667",,"6,910,840",,"29,145,505",,"3,271,616",,"643,077",,"8,631,393","11,799,448",,"3,959,353",,"4,237,256",,"13,002,700",,"1,097,379",,"5,118,425","1,377,529",,"9,288,994",,"2,117,522",,"20,201,249",,"10,439,388",,"779,094","5,706,494",,"2,961,279",,"6,154,913",,"1,084,225",,"1,961,504",,"3,104,614","4,505,836",,"4,657,757",,"1,362,359",,"6,177,224",,"7,029,917",,"10,077,331",,"1,455,271",,"1,839,106",,"12,812,508",,"6,785,528",,"3,190,369",,"2,937,880",,"5,773,714",,"3,605,944",,"989,948",,"689,545",,"21,538,187",,"10,711,908",,"7,705,281",,"1,793,716",,"5,893,718",,"576,851"
"Population, Census, April 1, 2010",,"308,745,538",,"4,779,736",,"710,231",,"6,392,017",,"2,915,918",,"37,253,956","814,180",,"6,346,105",,"25,145,561",,"2,763,885",,"625,741",,"8,001,024","11,536,504",,"3,751,351",,"3,831,074",,"12,702,379",,"1,052,567",,"4,625,364","1,316,470",,"8,791,894",,"2,059,179",,"19,378,102",,"9,535,483",,"672,591","5,303,925",,"2,967,297",,"5,988,927",,"989,415",,"1,826,341",,"2,700,551","4,339,367",,"4,533,372",,"1,328,361",,"5,773,552",,"6,547,629",,"9,883,640",,"1,360,301",,"1,567,582",,"12,830,632",,"6,483,802",,"3,046,355",,"2,853,118",,"5,029,196",,"3,574,097",,"897,934",,"601,723",,"18,801,310",,"9,687,653",,"6,724,540",,"1,852,994",,"5,686,986",,"563,626"
"Persons under 5 years, percent",,5.50%,,5.70%,,6.30%,,5.30%,,5.90%,,5.40%,6.30%,,5.80%,,6.30%,,6.80%,,4.20%,,5.60%,5.60%,,6.00%,,4.80%,,5.10%,,4.80%,,5.40%,4.50%,,5.60%,,5.10%,,5.30%,,5.60%,,6.30%,5.70%,,5.90%,,5.70%,,5.10%,,6.30%,,5.40%,5.80%,,6.10%,,4.40%,,5.70%,,4.90%,,5.30%,,5.40%,,5.80%,,5.30%,,5.90%,,5.80%,,6.00%,,5.30%,,5.00%,,5.30%,,5.70%,,5.00%,,5.80%,,5.40%,,4.90%,,5.30%,,5.30%
"Persons under 18 years, percent",,21.70%,,22.10%,,23.90%,,21.30%,,23.00%,,21.70%,24.10%,,22.00%,,24.80%,,27.30%,,17.70%,,21.60%,21.90%,,23.80%,,19.60%,,20.30%,,18.60%,,21.30%,18.00%,,21.60%,,21.30%,,20.20%,,21.60%,,23.60%,22.70%,,23.10%,,22.20%,,20.80%,,24.30%,,21.50%,22.50%,,23.30%,,17.80%,,22.00%,,19.20%,,21.00%,,20.50%,,23.80%,,21.60%,,23.10%,,22.80%,,23.60%,,20.70%,,20.00%,,20.50%,,18.60%,,19.40%,,23.00%,,21.10%,,19.90%,,21.10%,,22.20%
