"Fact","Fact Note","Colorado","Value Note for Colorado","Connecticut","Value Note for Connecticut","Delaware","Value Note for Delaware","District of Columbia","Value Note for District of Columbia","Florida","Value Note for Florida","Georgia","Value Note for Georgia"
"Population estimates, July 1, 2024, (V2024)","","5,957,493","","3,675,069","","1,051,917","","702,250","","23,372,215","","11,180,878",""
"Population estimates, July 1, 2023, (V2023)","","5,877,610","","3,617,176","","1,031,890","","678,972","","22,610,726","","11,029,227",""
"Population estimates base, April 1, 2020, (V2024)","","5,775,324","","3,607,701","","989,955","","689,545","","21,538,192","","10,713,755",""
"Population estimates base, April 1, 2020, (V2023)","","5,773,707","","3,605,912","","989,946","","689,548","","21,538,216","","10,713,771",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.2%","","1.9%","","6.3%","","1.8%","","8.5%","","4.4%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.8%","","0.3%","","4.2%","","-1.5%","","5.0%","","2.9%",""
"Population, Census, April 1, 2020","","5,773,714","","3,605,944","","989,948","","689,545","","21,538,187","","10,711,908",""
"Population, Census, April 1, 2010","","5,029,196","","3,574,097","","897,934","","601,723","","18,801,310","","9,687,653",""
"Persons under 5 years, percent","","5.3%","","5.0%","","5.3%","","5.7%","","5.0%","","5.8%",""
"Persons under 18 years, percent","","20.7%","","20.0%","","20.5%","","18.6%","","19.4%","","23.0%",""
"Persons 65 years and over, percent","","16.0%","","19.1%","","21.3%","","13.1%","","21.7%","","15.4%",""
"Female persons, percent","","49.4%","","51.0%","","51.6%","","52.6%","","50.9%","","51.3%",""
"White alone, percent","","86.0%","","78.0%","","67.6%","","46.6%","","76.7%","","58.7%",""
"Black alone, percent (a)","(a)","4.8%","","13.1%","","24.1%","","44.4%","","16.9%","","33.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.7%","","0.8%","","0.7%","","0.7%","","0.6%","","0.6%",""
"Asian alone, percent (a)","(a)","3.8%","","5.2%","","4.4%","","4.9%","","3.2%","","4.9%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.2%","","0.1%","","0.1%","","0.2%","","0.1%","","0.1%",""
"Two or More Races, percent","","3.5%","","2.8%","","3.1%","","3.3%","","2.5%","","2.5%",""
"Hispanic or Latino, percent (b)","(b)","22.7%","","18.6%","","11.1%","","12.0%","","27.4%","","11.1%",""
"White alone, not Hispanic or Latino, percent","","66.1%","","63.3%","","58.9%","","37.7%","","51.9%","","49.6%",""
"Veterans, 2019-2023","","348,913","","140,081","","61,582","","20,481","","1,347,330","","608,876",""
"Foreign-born persons, percent, 2019-2023","","9.6%","","15.4%","","10.4%","","13.3%","","21.4%","","10.8%",""
"Housing Units, July 1, 2023, (V2023)","","2,638,724","","1,546,032","","471,458","","367,147","","10,451,818","","4,610,567",""
"Owner-occupied housing unit rate, 2019-2023","","66.3%","","66.2%","","72.3%","","41.1%","","67.3%","","65.4%",""
"Median value of owner-occupied housing units, 2019-2023","","$502,200","","$343,200","","$326,800","","$724,600","","$325,000","","$272,900",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,231","","$2,383","","$1,782","","$3,062","","$1,860","","$1,712",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$624","","$1,052","","$540","","$856","","$629","","$518",""
"Median gross rent, 2019-2023","","$1,693","","$1,431","","$1,341","","$1,900","","$1,564","","$1,306",""
