"Fact","Fact Note","Kentucky","Value Note for Kentucky","Louisiana","Value Note for Louisiana","Maine","Value Note for Maine","Maryland","Value Note for Maryland","Massachusetts","Value Note for Massachusetts","Michigan","Value Note for Michigan"
"Population estimates, July 1, 2024, (V2024)","","4,588,372","","4,597,740","","1,405,012","","6,263,220","","7,136,171","","10,140,459",""
"Population estimates, July 1, 2023, (V2023)","","4,526,154","","4,573,749","","1,395,722","","6,180,253","","7,001,399","","10,037,261",""
"Population estimates base, April 1, 2020, (V2024)","","4,506,302","","4,657,874","","1,363,196","","6,181,629","","7,033,132","","10,079,338",""
"Population estimates base, April 1, 2020, (V2023)","","4,506,297","","4,657,785","","1,363,177","","6,177,253","","7,032,933","","10,077,674",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.8%","","-1.3%","","3.1%","","1.3%","","1.5%","","0.6%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.4%","","-1.8%","","2.4%","","Z","","-0.4%","","-0.4%",""
"Population, Census, April 1, 2020","","4,505,836","","4,657,757","","1,362,359","","6,177,224","","7,029,917","","10,077,331",""
"Population, Census, April 1, 2010","","4,339,367","","4,533,372","","1,328,361","","5,773,552","","6,547,629","","9,883,640",""
"Persons under 5 years, percent","","5.8%","","6.1%","","4.4%","","5.7%","","4.9%","","5.3%",""
"Persons under 18 years, percent","","22.5%","","23.3%","","17.8%","","22.0%","","19.2%","","21.0%",""
"Persons 65 years and over, percent","","17.8%","","17.4%","","23.0%","","17.3%","","18.5%","","19.2%",""
"Female persons, percent","","50.4%","","51.1%","","50.7%","","51.4%","","51.1%","","50.4%",""
"White alone, percent","","86.7%","","62.6%","","93.7%","","57.2%","","79.0%","","78.7%",""
"Black alone, percent (a)","(a)","8.8%","","32.6%","","2.1%","","31.6%","","9.6%","","14.1%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%","","0.9%","","0.7%","","0.8%","","0.6%","","0.8%",""
"Asian alone, percent (a)","(a)","1.8%","","1.9%","","1.4%","","7.1%","","7.9%","","3.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%","","0.1%","","Z","","0.1%","","0.1%","","Z",""
"Two or More Races, percent","","2.3%","","2.0%","","2.0%","","3.3%","","2.8%","","2.8%",""
"Hispanic or Latino, percent (b)","(b)","5.0%","","7.3%","","2.3%","","12.6%","","13.5%","","6.0%",""
"White alone, not Hispanic or Latino, percent","","82.4%","","56.6%","","91.8%","","47.3%","","68.8%","","73.7%",""
"Veterans, 2019-2023","","235,118","","217,225","","97,871","","332,655","","253,731","","479,115",""
"Foreign-born persons, percent, 2019-2023","","4.4%","","4.7%","","3.9%","","16.3%","","17.7%","","7.0%",""
"Housing Units, July 1, 2023, (V2023)","","2,036,728","","2,124,961","","758,815","","2,572,412","","3,045,948","","4,643,473",""
"Owner-occupied housing unit rate, 2019-2023","","68.3%","","67.3%","","74.0%","","67.5%","","62.6%","","72.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$192,300","","$208,700","","$266,400","","$397,700","","$525,800","","$217,600",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,393","","$1,543","","$1,657","","$2,301","","$2,659","","$1,521",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$455","","$418","","$615","","$728","","$1,001","","$587",""
"Median gross rent, 2019-2023","","$933","","$1,038","","$1,084","","$1,662","","$1,687","","$1,084",""
"Building Permits, 2023","","15,415","","14,247","","6,183","1","18,453","","13,214","","20,592","1"
"Households, 2019-2023","","1,791,991","","1,783,168","","589,085","","2,339,510","","2,762,070","","4,040,168",""
"Persons per household, 2019-2023","","2.45","","2.52","","2.27","","2.58","","2.45","","2.43",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.1%","","88.1%","","88.8%","","88.3%","","88.0%","","88.4%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","6.4%","","8.3%","","6.0%","","20.6%","","24.8%","","10.2%",""
"Households with a computer, percent, 2019-2023","","92.8%","","92.3%","","94.0%","","96.0%","","95.1%","","94.4%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","87.2%","","84.8%","","88.9%","","91.5%","","91.8%","","89.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","88.5%","","86.9%","","94.5%","","91.0%","","91.4%","","91.9%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","27.0%","","26.6%","","35.3%","","42.7%","","46.6%","","31.8%",""
"With a disability, under age 65 years, percent, 2019-2023","","13.4%","","11.8%","","11.4%","","7.9%","","8.3%","","10.3%",""
"Persons without health insurance, under age 65 years, percent","","6.5%","","8.2%","","7.5%","","7.4%","","3.0%","","5.5%",""
