"Fact","Fact Note","Minnesota","Value Note for Minnesota","Mississippi","Value Note for Mississippi","Missouri","Value Note for Missouri","Montana","Value Note for Montana","Nebraska","Value Note for Nebraska","Nevada","Value Note for Nevada"
"Population estimates, July 1, 2024, (V2024)","","5,793,151","","2,943,045","","6,245,466","","1,137,233","","2,005,465","","3,267,467",""
"Population estimates, July 1, 2023, (V2023)","","5,737,915","","2,939,690","","6,196,156","","1,132,812","","1,978,379","","3,194,176",""
"Population estimates base, April 1, 2020, (V2024)","","5,706,692","","2,961,278","","6,154,854","","1,084,216","","1,961,996","","3,105,595",""
"Population estimates base, April 1, 2020, (V2023)","","5,706,804","","2,961,306","","6,154,889","","1,084,244","","1,961,965","","3,104,617",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","1.5%","","-0.6%","","1.5%","","4.9%","","2.2%","","5.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","0.5%","","-0.7%","","0.7%","","4.5%","","0.8%","","2.9%",""
"Population, Census, April 1, 2020","","5,706,494","","2,961,279","","6,154,913","","1,084,225","","1,961,504","","3,104,614",""
"Population, Census, April 1, 2010","","5,303,925","","2,967,297","","5,988,927","","989,415","","1,826,341","","2,700,551",""
"Persons under 5 years, percent","","5.7%","","5.9%","","5.7%","","5.1%","","6.3%","","5.4%",""
"Persons under 18 years, percent","","22.7%","","23.1%","","22.2%","","20.8%","","24.3%","","21.5%",""
"Persons 65 years and over, percent","","17.8%","","17.6%","","18.3%","","20.5%","","17.2%","","17.4%",""
"Female persons, percent","","49.9%","","51.5%","","50.7%","","49.3%","","49.7%","","49.7%",""
"White alone, percent","","82.3%","","58.7%","","82.4%","","88.7%","","87.3%","","71.5%",""
"Black alone, percent (a)","(a)","7.9%","","37.8%","","11.7%","","0.6%","","5.5%","","11.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","1.4%","","0.7%","","0.6%","","6.4%","","1.7%","","1.7%",""
"Asian alone, percent (a)","(a)","5.5%","","1.2%","","2.3%","","1.1%","","2.8%","","9.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%","","0.1%","","0.2%","","0.1%","","0.1%","","0.9%",""
"Two or More Races, percent","","2.9%","","1.5%","","2.7%","","3.1%","","2.6%","","5.2%",""
"Hispanic or Latino, percent (b)","(b)","6.5%","","3.9%","","5.3%","","4.7%","","12.9%","","29.9%",""
"White alone, not Hispanic or Latino, percent","","76.9%","","55.6%","","77.9%","","85.1%","","76.2%","","45.4%",""
"Veterans, 2019-2023","","267,133","","153,838","","354,505","","81,663","","105,516","","201,790",""
"Foreign-born persons, percent, 2019-2023","","8.6%","","2.4%","","4.4%","","2.3%","","7.7%","","19.0%",""
"Housing Units, July 1, 2023, (V2023)","","2,575,411","","1,350,642","","2,844,346","","535,500","","873,672","","1,348,211",""
"Owner-occupied housing unit rate, 2019-2023","","72.4%","","69.5%","","67.9%","","69.4%","","66.5%","","59.3%",""
"Median value of owner-occupied housing units, 2019-2023","","$305,500","","$161,400","","$215,600","","$338,100","","$223,800","","$406,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$1,890","","$1,353","","$1,478","","$1,736","","$1,686","","$1,867",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$672","","$418","","$528","","$547","","$651","","$520",""
"Median gross rent, 2019-2023","","$1,235","","$923","","$996","","$1,031","","$1,035","","$1,489",""
"Building Permits, 2023","","25,667","","7,700","","16,781","","4,307","1","8,877","","18,451",""
"Households, 2019-2023","","2,282,967","","1,131,760","","2,484,834","","452,683","","786,885","","1,183,393",""
"Persons per household, 2019-2023","","2.44","","2.52","","2.42","","2.38","","2.44","","2.62",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","87.4%","","88.8%","","86.9%","","85.8%","","86.4%","","85.0%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","12.2%","","4.2%","","6.6%","","4.2%","","12.3%","","29.3%",""
"Households with a computer, percent, 2019-2023","","95.3%","","91.4%","","94.0%","","93.9%","","94.6%","","96.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","90.7%","","81.9%","","88.1%","","88.2%","","89.6%","","90.3%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","93.9%","","86.6%","","91.6%","","94.6%","","92.1%","","87.4%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","38.8%","","24.2%","","31.9%","","34.5%","","34.1%","","27.4%",""
"With a disability, under age 65 years, percent, 2019-2023","","8.0%","","12.6%","","10.5%","","9.9%","","8.4%","","9.3%",""
"Persons without health insurance, under age 65 years, percent","","5.0%","","12.4%","","9.1%","","10.5%","","7.2%","","12.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","68.4%","","56.6%","","62.7%","","62.4%","","68.4%","","62.6%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","64.9%","","53.7%","","59.1%","","59.1%","","64.2%","","58.0%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","16,896,884","","10,240,535","","18,523,356","","4,321,331","","5,191,548","","42,114,174",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","63,326,593","","22,217,522","","59,680,054","","11,075,124","","20,853,904","","25,373,441",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","25,461,406","","8,169,836","","22,731,448","","3,002,242","","10,693,835","","10,758,632",""
"Total retail sales, 2022 ($1,000)","(c)","134,656,010","","50,096,440","","129,387,984","","24,144,772","","43,318,520","","70,103,046",""
"Total retail sales per capita, 2022","(c)","$23,565","","$17,046","","$20,946","","$21,503","","$22,011","","$22,063",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","23.1","","25.6","","23.7","","19.2","","19.1","","24.8",""
"Median households income (in 2023 dollars), 2019-2023","","$87,556","","$54,915","","$68,920","","$69,922","","$74,985","","$75,561",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$46,957","","$30,529","","$38,497","","$39,842","","$40,637","","$39,963",""
"Persons in poverty, percent","","9.3%","","18.0%","","12.0%","","11.7%","","10.5%","","12.0%",""
"Total employer establishments, 2022","","154,314","","60,469","","153,767","","42,015","","56,319","","76,393",""
"Total employment, 2022","","2,732,522","","944,580","","2,564,383","","398,871","","890,050","","1,286,578",""
"Total annual payroll, 2022 ($1,000)","","177,625,553","","43,003,532","","149,534,361","","20,101,686","","50,451,717","","71,231,852",""
"Total employment, percent change, 2021-2022","","4.0%","","1.5%","","3.5%","","4.9%","","4.5%","","11.1%",""
"Total nonemployer establishments, 2022","","442,345","","251,172","","475,437","","105,934","","150,120","","294,529",""
"All employer firms, Reference year 2022","","110,242","","40,180","","104,804","","33,035","","41,185","","57,635",""
"Men-owned employer firms, Reference year 2022","","67,395","","24,442","","60,205","","17,574","","23,363","","34,390",""
"Women-owned employer firms, Reference year 2022","","22,395","","8,015","","22,668","","6,836","","7,494","","12,507",""
"Minority-owned employer firms, Reference year 2022","","10,334","","5,771","","11,801","","1,443","","3,032","","14,883",""
"Nonminority-owned employer firms, Reference year 2022","","91,455","","30,860","","85,131","","28,707","","34,445","","37,557",""
"Veteran-owned employer firms, Reference year 2022","","5,600","","2,395","","5,230","","1,812","","2,224","","2,829",""
"Nonveteran-owned employer firms, Reference year 2022","","95,321","","33,826","","90,030","","27,825","","34,800","","50,124",""
"Population per square mile, 2020","","71.7","","63.1","","89.5","","7.4","","25.5","","28.3",""
"Population per square mile, 2010","","66.6","","63.2","","87.1","","6.8","","23.8","","24.6",""
"Land area in square miles, 2020","","79,626.68","","46,923.96","","68,746.48","","145,550.36","","76,817.87","","109,860.46",""
"Land area in square miles, 2010","","79,626.74","","46,923.27","","68,741.52","","145,545.80","","76,824.17","","109,781.18",""
"FIPS Code","","""27""","","""28""","","""29""","","""30""","","""31""","","""32""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"1","Includes data not distributed by county.","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
