"Fact","Fact Note","New Hampshire","Value Note for New Hampshire","New Jersey","Value Note for New Jersey","New Mexico","Value Note for New Mexico","New York","Value Note for New York","North Carolina","Value Note for North Carolina","North Dakota","Value Note for North Dakota"
"Population estimates, July 1, 2024, (V2024)","","1,409,032","","9,500,851","","2,130,256","","19,867,248","","11,046,024","","796,568",""
"Population estimates, July 1, 2023, (V2023)","","1,402,054","","9,290,841","","2,114,371","","19,571,216","","10,835,491","","783,926",""
"Population estimates base, April 1, 2020, (V2024)","","1,377,546","","9,289,014","","2,117,555","","20,203,772","","10,441,499","","779,046",""
"Population estimates base, April 1, 2020, (V2023)","","1,377,524","","9,289,039","","2,117,525","","20,202,320","","10,439,459","","779,079",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","2.3%","","2.3%","","0.6%","","-1.7%","","5.8%","","2.2%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.8%","","Z","","-0.1%","","-3.1%","","3.8%","","0.6%",""
"Population, Census, April 1, 2020","","1,377,529","","9,288,994","","2,117,522","","20,201,249","","10,439,388","","779,094",""
"Population, Census, April 1, 2010","","1,316,470","","8,791,894","","2,059,179","","19,378,102","","9,535,483","","672,591",""
"Persons under 5 years, percent","","4.5%","","5.6%","","5.1%","","5.3%","","5.6%","","6.3%",""
"Persons under 18 years, percent","","18.0%","","21.6%","","21.3%","","20.2%","","21.6%","","23.6%",""
"Persons 65 years and over, percent","","20.8%","","17.7%","","19.8%","","18.6%","","17.6%","","17.0%",""
"Female persons, percent","","50.1%","","50.8%","","50.3%","","51.2%","","51.1%","","48.7%",""
"White alone, percent","","92.5%","","70.4%","","80.7%","","68.5%","","69.8%","","86.4%",""
"Black alone, percent (a)","(a)","2.1%","","15.5%","","2.8%","","17.7%","","22.1%","","3.8%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%","","0.8%","","11.4%","","1.1%","","1.6%","","5.3%",""
"Asian alone, percent (a)","(a)","3.1%","","10.6%","","2.0%","","9.7%","","3.7%","","1.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%","","0.1%","","0.2%","","0.1%","","0.2%","","0.2%",""
"Two or More Races, percent","","1.9%","","2.5%","","2.8%","","2.9%","","2.7%","","2.6%",""
"Hispanic or Latino, percent (b)","(b)","4.8%","","22.7%","","48.6%","","19.8%","","11.4%","","4.9%",""
"White alone, not Hispanic or Latino, percent","","88.5%","","52.0%","","36.8%","","54.0%","","60.7%","","82.6%",""
"Veterans, 2019-2023","","89,294","","285,835","","133,239","","607,728","","618,846","","43,237",""
"Foreign-born persons, percent, 2019-2023","","6.2%","","23.5%","","9.2%","","22.6%","","8.7%","","4.5%",""
"Housing Units, July 1, 2023, (V2023)","","653,069","","3,804,012","","965,399","","8,631,525","","4,979,204","","380,841",""
"Owner-occupied housing unit rate, 2019-2023","","72.5%","","63.7%","","69.3%","","54.3%","","66.4%","","63.4%",""
