"Fact","Fact Note","Ohio","Value Note for Ohio","Oklahoma","Value Note for Oklahoma","Oregon","Value Note for Oregon","Pennsylvania","Value Note for Pennsylvania","Rhode Island","Value Note for Rhode Island","South Carolina","Value Note for South Carolina"
"Population estimates, July 1, 2024, (V2024)","","11,883,304","","4,095,393","","4,272,371","","13,078,751","","1,112,308","","5,478,831",""
"Population estimates, July 1, 2023, (V2023)","","11,785,935","","4,053,824","","4,233,358","","12,961,683","","1,095,962","","5,373,555",""
"Population estimates base, April 1, 2020, (V2024)","","11,799,453","","3,959,405","","4,237,224","","13,002,909","","1,097,354","","5,118,252",""
"Population estimates base, April 1, 2020, (V2023)","","11,799,331","","3,959,411","","4,237,279","","13,002,788","","1,097,371","","5,118,422",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","0.7%","","3.4%","","0.8%","","0.6%","","1.4%","","7.0%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","-0.1%","","2.4%","","-0.1%","","-0.3%","","-0.1%","","5.0%",""
"Population, Census, April 1, 2020","","11,799,448","","3,959,353","","4,237,256","","13,002,700","","1,097,379","","5,118,425",""
"Population, Census, April 1, 2010","","11,536,504","","3,751,351","","3,831,074","","12,702,379","","1,052,567","","4,625,364",""
"Persons under 5 years, percent","","5.6%","","6.0%","","4.8%","","5.1%","","4.8%","","5.4%",""
"Persons under 18 years, percent","","21.9%","","23.8%","","19.6%","","20.3%","","18.6%","","21.3%",""
"Persons 65 years and over, percent","","18.7%","","16.6%","","19.6%","","20.0%","","19.3%","","19.3%",""
"Female persons, percent","","50.7%","","50.3%","","50.2%","","50.7%","","51.0%","","51.4%",""
"White alone, percent","","80.6%","","72.9%","","85.6%","","80.6%","","82.4%","","69.0%",""
"Black alone, percent (a)","(a)","13.4%","","7.9%","","2.4%","","12.3%","","9.3%","","26.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","0.3%","","9.5%","","1.9%","","0.5%","","1.3%","","0.6%",""
"Asian alone, percent (a)","(a)","2.8%","","2.6%","","5.2%","","4.2%","","3.7%","","2.0%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.1%","","0.3%","","0.5%","","0.1%","","0.2%","","0.1%",""
"Two or More Races, percent","","2.7%","","6.8%","","4.4%","","2.4%","","3.1%","","2.3%",""
"Hispanic or Latino, percent (b)","(b)","4.8%","","12.9%","","14.9%","","8.9%","","18.0%","","7.5%",""
"White alone, not Hispanic or Latino, percent","","76.7%","","62.6%","","72.8%","","74.1%","","69.2%","","62.9%",""
