"Fact","Fact Note","South Dakota","Value Note for South Dakota","Tennessee","Value Note for Tennessee","Texas","Value Note for Texas","Utah","Value Note for Utah","Vermont","Value Note for Vermont","Virginia","Value Note for Virginia"
"Population estimates, July 1, 2024, (V2024)","","924,669","","7,227,750","","31,290,831","","3,503,613","","648,493","","8,811,195",""
"Population estimates, July 1, 2023, (V2023)","","919,318","","7,126,489","","30,503,301","","3,417,734","","647,464","","8,715,698",""
"Population estimates base, April 1, 2020, (V2024)","","886,729","","6,912,347","","29,149,458","","3,271,608","","643,082","","8,631,388",""
"Population estimates base, April 1, 2020, (V2023)","","886,668","","6,910,786","","29,145,459","","3,271,614","","643,077","","8,631,373",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","4.3%","","4.6%","","7.3%","","7.1%","","0.8%","","2.1%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","3.7%","","3.1%","","4.7%","","4.5%","","0.7%","","1.0%",""
"Population, Census, April 1, 2020","","886,667","","6,910,840","","29,145,505","","3,271,616","","643,077","","8,631,393",""
"Population, Census, April 1, 2010","","814,180","","6,346,105","","25,145,561","","2,763,885","","625,741","","8,001,024",""
"Persons under 5 years, percent","","6.3%","","5.8%","","6.3%","","6.8%","","4.2%","","5.6%",""
"Persons under 18 years, percent","","24.1%","","22.0%","","24.8%","","27.3%","","17.7%","","21.6%",""
"Persons 65 years and over, percent","","18.4%","","17.4%","","13.7%","","12.2%","","22.1%","","17.2%",""
"Female persons, percent","","49.2%","","51.0%","","50.1%","","49.3%","","50.4%","","50.6%",""
"White alone, percent","","84.2%","","78.4%","","76.8%","","89.8%","","93.6%","","68.3%",""
"Black alone, percent (a)","(a)","2.6%","","16.5%","","13.6%","","1.6%","","1.6%","","20.0%",""
"American Indian and Alaska Native alone, percent (a)","(a)","8.5%","","0.6%","","1.1%","","1.6%","","0.4%","","0.6%",""
"Asian alone, percent (a)","(a)","1.8%","","2.1%","","6.0%","","2.9%","","2.1%","","7.4%",""
