"Fact","Fact Note","Washington","Value Note for Washington","West Virginia","Value Note for West Virginia","Wisconsin","Value Note for Wisconsin","Wyoming","Value Note for Wyoming"
"Population estimates, July 1, 2024, (V2024)","","7,958,180","","1,769,979","","5,960,975","","587,618",""
"Population estimates, July 1, 2023, (V2023)","","7,812,880","","1,770,071","","5,910,955","","584,057",""
"Population estimates base, April 1, 2020, (V2024)","","7,707,586","","1,793,736","","5,894,170","","576,844",""
"Population estimates base, April 1, 2020, (V2023)","","7,705,267","","1,793,713","","5,893,713","","576,850",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","3.3%","","-1.3%","","1.1%","","1.9%",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","","1.4%","","-1.3%","","0.3%","","1.2%",""
"Population, Census, April 1, 2020","","7,705,281","","1,793,716","","5,893,718","","576,851",""
"Population, Census, April 1, 2010","","6,724,540","","1,852,994","","5,686,986","","563,626",""
"Persons under 5 years, percent","","5.4%","","4.9%","","5.3%","","5.3%",""
"Persons under 18 years, percent","","21.1%","","19.9%","","21.1%","","22.2%",""
"Persons 65 years and over, percent","","17.1%","","21.5%","","19.1%","","19.2%",""
"Female persons, percent","","49.6%","","50.1%","","49.9%","","48.8%",""
"White alone, percent","","76.3%","","92.8%","","86.4%","","92.3%",""
"Black alone, percent (a)","(a)","4.7%","","3.8%","","6.6%","","1.2%",""
"American Indian and Alaska Native alone, percent (a)","(a)","2.0%","","0.3%","","1.2%","","2.8%",""
"Asian alone, percent (a)","(a)","10.8%","","0.9%","","3.3%","","1.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent (a)","(a)","0.9%","","Z","","0.1%","","0.1%",""
"Two or More Races, percent","","5.4%","","2.1%","","2.3%","","2.4%",""
"Hispanic or Latino, percent (b)","(b)","14.6%","","2.2%","","8.1%","","10.8%",""
"White alone, not Hispanic or Latino, percent","","64.2%","","90.9%","","79.5%","","83.1%",""
"Veterans, 2019-2023","","486,714","","109,457","","296,513","","40,952",""
"Foreign-born persons, percent, 2019-2023","","15.1%","","1.7%","","5.1%","","3.5%",""
"Housing Units, July 1, 2023, (V2023)","","3,361,615","","863,745","","2,787,556","","280,121",""
"Owner-occupied housing unit rate, 2019-2023","","63.9%","","74.3%","","67.9%","","71.9%",""
"Median value of owner-occupied housing units, 2019-2023","","$519,800","","$155,600","","$247,400","","$285,100",""
"Median selected monthly owner costs - with a mortgage, 2019-2023","","$2,358","","$1,225","","$1,652","","$1,691",""
"Median selected monthly owner costs -without a mortage, 2019-2023","","$740","","$385","","$647","","$519",""
"Median gross rent, 2019-2023","","$1,682","","$850","","$1,045","","$968",""
"Building Permits, 2023","","37,097","","4,014","","21,494","","1,681",""
"Households, 2019-2023","","3,020,558","","721,448","","2,446,028","","238,176",""
"Persons per household, 2019-2023","","2.51","","2.40","","2.35","","2.38",""
"Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","","84.9%","","89.2%","","87.8%","","84.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","","21.0%","","2.5%","","8.8%","","6.8%",""
"Households with a computer, percent, 2019-2023","","96.7%","","90.1%","","94.0%","","95.1%",""
"Households with a broadband Internet subscription, percent, 2019-2023","","93.0%","","84.4%","","89.2%","","89.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2019-2023","","92.2%","","88.6%","","93.4%","","94.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","","38.8%","","23.3%","","32.8%","","29.9%",""
"With a disability, under age 65 years, percent, 2019-2023","","9.3%","","13.8%","","8.5%","","9.4%",""
"Persons without health insurance, under age 65 years, percent","","7.4%","","7.5%","","5.9%","","13.1%",""
"In civilian labor force, total, percent of population age 16 years+, 2019-2023","","63.6%","","53.5%","","65.4%","","64.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2019-2023","","58.9%","","49.9%","","62.0%","","59.7%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","26,364,447","","4,723,330","","16,626,749","","2,435,803",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","75,395,248","","18,934,220","","65,814,972","","5,012,761",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","30,246,405","","3,692,949","","20,718,535","","2,252,669",""
"Total retail sales, 2022 ($1,000)","(c)","242,905,745","","30,058,548","","121,958,764","","13,183,265",""
"Total retail sales per capita, 2022","(c)","$31,204","","$16,944","","$20,704","","$22,666",""
"Mean travel time to work (minutes), workers age 16 years+, 2019-2023","","27.0","","26.6","","22.2","","18.5",""
"Median households income (in 2023 dollars), 2019-2023","","$94,952","","$57,917","","$75,670","","$74,815",""
"Per capita income in past 12 months (in 2023 dollars), 2019-2023","","$51,493","","$32,949","","$42,019","","$41,006",""
"Persons in poverty, percent","","10.3%","","16.7%","","10.7%","","11.3%",""
"Total employer establishments, 2022","","202,005","","35,530","","144,443","","23,196",""
"Total employment, 2022","","2,978,277","","540,468","","2,600,303","","208,024",""
"Total annual payroll, 2022 ($1,000)","","241,782,080","","26,501,437","","153,219,064","","11,583,647",""
"Total employment, percent change, 2021-2022","","5.6%","","4.1%","","3.2%","","4.6%",""
"Total nonemployer establishments, 2022","","533,681","","93,669","","389,776","","62,751",""
"All employer firms, Reference year 2022","","152,437","","22,550","","101,816","","18,249",""
"Men-owned employer firms, Reference year 2022","","81,954","","13,504","","60,996","","9,864",""
"Women-owned employer firms, Reference year 2022","","35,273","","4,185","","19,047","","3,451",""
"Minority-owned employer firms, Reference year 2022","","31,980","","1,266","","8,814","","1,409",""
"Nonminority-owned employer firms, Reference year 2022","","108,412","","18,793","","84,731","","14,983",""
"Veteran-owned employer firms, Reference year 2022","","7,153","","1,206","","4,841","","1,122",""
"Nonveteran-owned employer firms, Reference year 2022","","133,394","","18,470","","87,345","","15,112",""
"Population per square mile, 2020","","115.9","","74.6","","108.8","","5.9",""
"Population per square mile, 2010","","101.2","","77.1","","105.0","","5.8",""
"Land area in square miles, 2020","","66,455.12","","24,041.15","","54,167.14","","97,088.76",""
"Land area in square miles, 2010","","66,455.52","","24,038.21","","54,157.80","","97,093.14",""
"FIPS Code","","""53""","","""54""","","""55""","","""56""",""
"","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","",""
"","","","","","","","","",""
"Value Notes","","","","","","","","",""
"None","","","","","","","","",""
"","","","","","","","","",""
"Fact Notes","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","",""
"","","","","","","","","",""
"Value Flags","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","",""
"NA","Not available","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","",""
"X","Not applicable","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","",""
