Fact,"Population estimates, July 1, 2024, (V2024)","Population estimates, July 1, 2023, (V2023)","Population estimates base, April 1, 2020, (V2024)","Population estimates base, April 1, 2020, (V2023)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black alone, percent (a)","American Indian and Alaska Native alone, percent (a)","Asian alone, percent (a)","Native Hawaiian and Other Pacific Islander alone, percent (a)","Two or More Races, percent","Hispanic or Latino, percent (b)","White alone, not Hispanic or Latino, percent","Veterans, 2019-2023","Foreign-born persons, percent, 2019-2023","Housing Units, July 1, 2023, (V2023)","Owner-occupied housing unit rate, 2019-2023","Median value of owner-occupied housing units, 2019-2023","Median selected monthly owner costs - with a mortgage, 2019-2023","Median selected monthly owner costs -without a mortage, 2019-2023","Median gross rent, 2019-2023","Building Permits, 2023","Households, 2019-2023","Persons per household, 2019-2023","Living in the same house 1 year ago, percent of persons age 1 year+ ,  2019-2023","Language other than English spoken at home, percent of persons age 5 years+, 2019-2023","Households with a computer, percent, 2019-2023","Households with a broadband Internet subscription, percent, 2019-2023","High school graduate or higher, percent of persons age 25 years+, 2019-2023","Bachelor's degree or higher, percent of persons age 25 years+, 2019-2023","With a disability, under age 65 years, percent, 2019-2023","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2019-2023","In civilian labor force, female, percent of population age 16 years+, 2019-2023","Total accommodation and food services sales, 2022 ($1,000)","Total health care and social assistance receipts/revenue, 2022 ($1,000)","Total transportation and warehousing receipts/revenue, 2022 ($1,000)","Total retail sales, 2022 ($1,000)","Total retail sales per capita, 2022","Mean travel time to work (minutes), workers age 16 years+, 2019-2023","Median households income (in 2023 dollars), 2019-2023","Per capita income in past 12 months (in 2023 dollars), 2019-2023","Persons in poverty, percent","Total employer establishments, 2022","Total employment, 2022","Total annual payroll, 2022 ($1,000)","Total employment, percent change, 2021-2022","Total nonemployer establishments, 2022","All employer firms, Reference year 2022","Men-owned employer firms, Reference year 2022","Women-owned employer firms, Reference year 2022","Minority-owned employer firms, Reference year 2022","Nonminority-owned employer firms, Reference year 2022","Veteran-owned employer firms, Reference year 2022","Nonveteran-owned employer firms, Reference year 2022","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",FIPS Code,,NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,Value Notes,None,,Fact Notes,(a),(b),(c),,Value Flags,D,F,FN,,S,X,Z,-,N
Fact Note,,,,,,,,,,,,,,(a),(a),(a),(a),,(b),,,,,,,,,,,,,,,,,,,,,,,(c),(c),(c),(c),(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,Includes persons reporting only one race,"Hispanics may be of any race, so also are included in applicable race categories",Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,Suppressed to avoid disclosure of confidential information,Fewer than 25 firms,Footnote on this item in place of data,Not available,Suppressed; does not meet publication standards,Not applicable,Value greater than zero but less than half unit of measure shown,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",Data for this geographic area cannot be displayed because the number of sample cases is too small.
United States,"340,110,988","334,914,895","331,515,736","331,464,948",2.60%,1.00%,"331,449,281","308,745,538",5.50%,21.70%,17.70%,50.50%,75.30%,13.70%,1.30%,6.40%,0.30%,3.10%,19.50%,58.40%,"16,569,149",13.90%,"145,344,636",65.00%,"$303,400 ","$1,902 ",$612 ,"$1,348 ","1,511,102","127,482,865",2.54,87.30%,22.00%,94.80%,89.70%,89.40%,35.00%,9.10%,9.50%,63.00%,58.70%,"1,196,315,575","3,330,304,719","1,316,303,546","6,974,691,329","$20,928 ",26.6,"$78,538 ","$43,289 ",11.10%,"8,298,562","135,748,407","8,965,035,263",5.80%,"29,811,495","5,876,787","3,633,787","1,309,282","1,326,462","4,230,881","273,542","5,275,279",93.8,87.4,"3,533,038.28","3,531,905.43","""1""",,,,,,,,,,,,,,,,,,,,,
Alabama,"5,157,699","5,108,468","5,025,369","5,024,294",2.60%,1.70%,"5,024,279","4,779,736",5.70%,22.10%,18.30%,51.50%,68.90%,26.60%,0.70%,1.60%,0.10%,2.00%,5.70%,64.10%,"310,187",3.80%,"2,360,135",69.90%,"$195,100 ","$1,386 ",$430 ,$963 ,"20,337","1,969,105",2.5,87.80%,5.90%,92.50%,85.60%,88.10%,27.80%,11.60%,10.30%,57.80%,53.30%,"13,650,008","38,895,946","13,872,047","94,272,444","$18,580 ",25.4,"$62,027 ","$34,835 ",15.60%,"105,071","1,777,657","94,186,727",3.40%,"390,228","69,656","43,637","14,122","10,197","54,274","4,212","59,366",99.2,94.4,"50,647.13","50,645.33","""01""",,,,,,,,,,,,,,,,,,,,,
Alaska,"740,133","733,406","733,395","733,374",0.90%,Z,"733,391","710,231",6.30%,23.90%,14.40%,47.50%,64.20%,3.70%,15.60%,6.80%,1.70%,8.10%,7.50%,59.00%,"58,910",7.80%,"329,699",66.60%,"$333,300 ","$2,192 ",$674 ,"$1,388 ",937,"267,865",2.63,85.20%,15.60%,96.60%,90.60%,93.50%,31.20%,9.60%,11.90%,62.50%,61.30%,"3,197,824","10,552,218","6,944,069","13,651,314","$18,617 ",19.5,"$89,336 ","$44,928 ",10.40%,"22,082","257,462","17,816,330",2.50%,"60,471","16,422","8,610","3,952","2,225","12,275","1,141","13,355",1.3,1.2,"571,022.38","570,640.95","""02""",,,,,,,,,,,,,,,,,,,,,
Arizona,"7,582,384","7,431,344","7,158,110","7,157,902",5.90%,3.80%,"7,151,502","6,392,017",5.30%,21.30%,19.30%,50.10%,81.50%,5.70%,5.20%,4.10%,0.30%,3.30%,31.60%,53.40%,"459,818",12.90%,"3,239,581",67.00%,"$358,900 ","$1,739 ",$500 ,"$1,431 ","58,433","2,796,790",2.54,85.10%,25.70%,95.90%,90.40%,89.10%,32.60%,9.30%,12.10%,60.10%,55.60%,"27,613,720","66,572,509","21,696,444","157,466,082","$21,378 ",25.5,"$76,872 ","$40,736 ",12.40%,"159,857","2,787,701","162,647,099",7.20%,"585,251","116,651","64,372","25,786","22,370","84,545","5,876","101,623",62.9,56.3,"113,653.42","113,594.08","""04""",,,,,,,,,,,,,,,,,,,,,
Arkansas,"3,088,354","3,067,732","3,011,553","3,011,490",2.60%,1.90%,"3,011,524","2,915,918",5.90%,23.00%,18.00%,50.70%,78.40%,15.60%,1.10%,1.90%,0.50%,2.50%,9.20%,70.20%,"176,468",5.20%,"1,409,134",66.10%,"$175,300 ","$1,297 ",$422 ,$914 ,"12,842","1,189,160",2.48,86.90%,8.10%,92.60%,84.70%,88.60%,25.10%,13.10%,10.70%,58.10%,54.00%,"7,413,835","27,283,841","14,045,662","61,595,202","$20,219 ",22.3,"$58,773 ","$33,147 ",15.70%,"69,634","1,089,044","56,607,098",5.80%,"241,619","47,861","26,885","9,495","5,407","38,293","2,784","40,031",57.9,56,"51,992.85","52,035.48","""05""",,,,,,,,,,,,,,,,,,,,,
California,"39,431,263","38,965,193","39,555,674","39,538,212",-0.30%,-1.40%,"39,538,223","37,253,956",5.40%,21.70%,16.20%,50.10%,70.40%,6.50%,1.70%,16.50%,0.50%,4.30%,40.40%,34.30%,"1,355,918",26.70%,"14,763,237",55.80%,"$695,400 ","$2,865 ",$783 ,"$1,956 ","111,760","13,434,847",2.86,88.80%,44.10%,96.40%,92.50%,84.60%,36.50%,7.30%,7.40%,63.30%,58.10%,"169,438,170","420,638,311","171,389,035","809,607,418","$20,738 ",29,"$96,334 ","$47,977 ",12.00%,"1,023,181","16,032,440","1,361,755,461",8.10%,"3,502,950","781,306","469,788","183,842","291,607","441,805","27,220","715,683",253.7,239.1,"155,858.33","155,779.22","""06""",,,,,,,,,,,,,,,,,,,,,
South Dakota,"924,669","919,318","886,729","886,668",4.30%,3.70%,"886,667","814,180",6.30%,24.10%,18.40%,49.20%,84.20%,2.60%,8.50%,1.80%,0.10%,2.80%,5.10%,80.50%,"54,527",3.90%,"417,220",68.60%,"$236,800 ","$1,618 ",$597 ,$912 ,"7,072","358,552",2.42,86.50%,6.70%,93.60%,88.50%,93.00%,31.10%,8.10%,10.00%,67.00%,63.70%,"2,992,306","10,687,294","2,505,126","20,998,722","$23,079 ",17.6,"$72,421 ","$38,880 ",11.80%,"28,857","373,863","19,670,042",2.70%,"74,028","21,587","12,409","3,519",916,"18,441","1,389","17,564",11.7,10.7,"75,809.61","75,811.00","""46""",,,,,,,,,,,,,,,,,,,,,
Tennessee,"7,227,750","7,126,489","6,912,347","6,910,786",4.60%,3.10%,"6,910,840","6,346,105",5.80%,22.00%,17.40%,51.00%,78.40%,16.50%,0.60%,2.10%,0.10%,2.30%,7.50%,72.00%,"406,307",5.90%,"3,195,304",67.00%,"$256,800 ","$1,506 ",$455 ,"$1,122 ","47,463","2,768,743",2.47,86.70%,8.30%,93.50%,87.40%,89.60%,30.40%,10.70%,11.10%,61.70%,57.30%,"24,026,772","67,569,204","33,091,113","149,013,235","$21,140 ",25.7,"$67,097 ","$37,866 ",14.00%,"147,924","2,846,881","161,157,703",5.30%,"637,340","95,453","59,619","18,201","13,251","74,359","4,788","81,816",167.6,153.9,"41,232.49","41,234.90","""47""",,,,,,,,,,,,,,,,,,,,,
Texas,"31,290,831","30,503,301","29,149,458","29,145,459",7.30%,4.70%,"29,145,505","25,145,561",6.30%,24.80%,13.70%,50.10%,76.80%,13.60%,1.10%,6.00%,0.20%,2.30%,39.80%,39.60%,"1,408,009",17.20%,"12,395,364",62.60%,"$260,400 ","$2,012 ",$650 ,"$1,339 ","232,373","10,747,240",2.7,85.70%,34.90%,95.60%,90.00%,85.70%,33.10%,8.40%,18.70%,64.70%,58.90%,"101,333,127","253,192,012","141,813,905","608,178,719","$20,252 ",26.7,"$76,292 ","$39,446 ",13.70%,"657,362","11,507,642","737,188,384",6.60%,"3,023,525","459,814","278,501","104,149","153,534","277,048","23,458","408,634",111.6,96.3,"261,267.85","261,231.71","""48""",,,,,,,,,,,,,,,,,,,,,
