District,Candidate 1,Party 1,Votes 1,Percent 1,Winner 1,Incumbent 1,Flipped,Candidate 2,Party 2,Votes 2,Percent 2,Winner 2,Incumbent 2
AK 01,Begich,R,164861,50.03,TRUE,FALSE,FALSE,Peltola,D,156985,47.64,FALSE,TRUE
AL 01,Moore,R,258619,78.48,TRUE,TRUE,FALSE,Holmes,D,70929,21.52,FALSE,FALSE
AL 02,Figures,D,158041,54.6,TRUE,FALSE,FALSE,Dobson,R,131414,45.4,FALSE,FALSE
AL 03,Rogers,R,243848,100,TRUE,TRUE,FALSE,,,,,,
AL 04,Aderholt,R,274498,100,TRUE,TRUE,FALSE,,,,,,
AL 05,Strong,R,250322,100,TRUE,TRUE,FALSE,,,,,,
AL 06,Palmer,R,243741,70.4,TRUE,TRUE,FALSE,Anderson,D,102504,29.6,FALSE,FALSE
AL 07,Sewell,D,186723,63.72,TRUE,TRUE,FALSE,Litaker,R,106312,36.28,FALSE,FALSE
AR 01,Crawford,R,194711,72.88,TRUE,TRUE,FALSE,Govens,D,64113,24,FALSE,FALSE
AR 02,Hill,R,180509,58.93,TRUE,TRUE,FALSE,Jones,D,125777,41.07,FALSE,FALSE
AR 03,Womack,R,192101,63.8,TRUE,TRUE,FALSE,Draper,D,95652,31.77,FALSE,FALSE
AR 04,Westerman,R,197046,72.91,TRUE,TRUE,FALSE,Howard,D,73207,27.09,FALSE,FALSE
AZ 01,Schweikert,R,225538,51.91,TRUE,TRUE,FALSE,Shah,D,208966,48.09,FALSE,FALSE
AZ 02,Crane,R,221413,54.48,TRUE,TRUE,FALSE,Nez,D,184963,45.52,FALSE,FALSE
AZ 03,Ansari,D,143336,70.94,TRUE,FALSE,FALSE,Zink,R,53705,26.58,FALSE,FALSE
AZ 04,Stanton,D,176428,52.74,TRUE,TRUE,FALSE,Cooper,R,152052,45.45,FALSE,FALSE
AZ 05,Biggs,R,255628,60.39,TRUE,TRUE,FALSE,Schaffner,D,167680,39.61,FALSE,FALSE
AZ 06,Ciscomani,R,215596,50.01,TRUE,TRUE,FALSE,Engel,D,204774,47.5,FALSE,FALSE
AZ 07,Grijalva,D,171954,63.45,TRUE,TRUE,FALSE,Butierez,R,99057,36.55,FALSE,FALSE
AZ 08,Hamadeh,R,208269,56.5,TRUE,FALSE,FALSE,Whitten,D,160344,43.5,FALSE,FALSE
AZ 09,Gosar,R,249583,65.3,TRUE,TRUE,FALSE,Smith,D,132640,34.7,FALSE,FALSE
CA 01,LaMalfa,R,208592,65.34,TRUE,TRUE,FALSE,Yee,D,110636,34.66,FALSE,FALSE
CA 02,Huffman,D,272883,71.88,TRUE,TRUE,FALSE,Coulombe,R,106734,28.12,FALSE,FALSE
CA 03,Kiley,R,234246,55.47,TRUE,TRUE,FALSE,Morse,D,188067,44.53,FALSE,FALSE
CA 04,Thompson,D,227730,66.46,TRUE,TRUE,FALSE,Munn,R,114950,33.54,FALSE,FALSE
CA 05,McClintock,R,227643,61.77,TRUE,TRUE,FALSE,Barkley,D,140919,38.23,FALSE,FALSE
CA 06,Bera,D,165408,57.62,TRUE,TRUE,FALSE,Bish,R,121664,42.38,FALSE,FALSE
CA 07,Matsui,D,197429,66.75,TRUE,TRUE,FALSE,Silva,R,98341,33.25,FALSE,FALSE
CA 08,Garamendi,D,201962,73.97,TRUE,TRUE,FALSE,Recile,R,71068,26.03,FALSE,FALSE
CA 09,Harder,D,130183,51.79,TRUE,TRUE,FALSE,Lincoln,R,121174,48.21,FALSE,FALSE
CA 10,DeSaulnier,D,242325,66.47,TRUE,TRUE,FALSE,Piccinini,R,122219,33.53,FALSE,FALSE
CA 11,Pelosi,D,274796,81,TRUE,TRUE,FALSE,Lou,R,64315,19,FALSE,FALSE
CA 12,Simon,D,185176,65.43,TRUE,FALSE,FALSE,Tran,D,97849,34.57,FALSE,FALSE
CA 13,Gray,D,105554,50.04,TRUE,FALSE,FALSE,Duarte,R,105367,49.96,FALSE,TRUE
CA 14,Swalwell,D,187263,67.75,TRUE,TRUE,FALSE,Kruttiventi,R,89125,32.25,FALSE,FALSE
CA 15,Mullin,D,211648,73.1,TRUE,TRUE,FALSE,Kramer,R,77896,26.9,FALSE,FALSE
CA 16,Liccardo,D,179583,58.22,TRUE,FALSE,FALSE,Low,D,128893,41.78,FALSE,FALSE
CA 17,Khanna,D,172462,67.66,TRUE,TRUE,FALSE,Chen,R,82415,32.34,FALSE,FALSE
CA 18,Lofgren,D,147674,64.63,TRUE,TRUE,FALSE,Hernandez,R,80832,35.37,FALSE,FALSE
CA 19,Panetta,D,252458,69.3,TRUE,TRUE,FALSE,Anderson,R,111862,30.7,FALSE,FALSE
CA 20,Fong,R,187862,65.05,TRUE,TRUE,FALSE,Boudreaux,R,100926,34.95,FALSE,FALSE
CA 21,Costa,D,102798,52.57,TRUE,TRUE,FALSE,Maher,R,92733,47.43,FALSE,FALSE
CA 22,Valadao,R,89484,53.42,TRUE,TRUE,FALSE,Salas,D,78023,46.58,FALSE,FALSE
CA 23,Obernolte,R,159286,60.14,TRUE,TRUE,FALSE,Marshall,D,105563,39.86,FALSE,FALSE
