state_name,state_code,county_name,population,total_votes,turnout,college_educated,households_total,households_mean_income,households_median_income,families_total,families_mean_income,families_median_income,poverty_total,poverty_percent,per_point_diff,college_educated_percent
Alabama,AL,Autauga County,60342.0,28190.0,0.467170461701634,11855.0,22523.0,93367.0,69841.0,15674.0,109137.0,83452.0,6275.0,10.399058698750457,46.28,19.646349143216995
Alabama,AL,Baldwin County,253507.0,121808.0,0.4804916629521078,58029.0,94642.0,100105.0,75019.0,64593.0,119421.0,92918.0,24819.0,9.790262201832691,58.18,22.89049217575846
Alabama,AL,Barbour County,24585.0,9832.0,0.3999186495830791,2070.0,9080.0,64745.0,44290.0,5990.0,77821.0,60474.0,4746.0,19.304453935326418,14.73,8.419768151311775
Alabama,AL,Bibb County,21868.0,9241.0,0.422580940186574,1915.0,7571.0,67735.0,51215.0,5264.0,79298.0,67222.0,4258.0,19.47137369672581,64.42,8.757087982440096
Alabama,AL,Blount County,59816.0,28115.0,0.470024742543801,6562.0,21977.0,79203.0,61096.0,15625.0,91220.0,76388.0,8269.0,13.824060452052963,81.02,10.970308947438813
Alabama,AL,Bullock County,9897.0,4106.0,0.41487319389714056,664.0,3453.0,51121.0,36723.0,2117.0,66381.0,45975.0,2344.0,23.68394462968576,-45.84,6.709103768818834
Alabama,AL,Butler County,18382.0,8467.0,0.4606136437819606,1886.0,7262.0,69162.0,44881.0,4607.0,85293.0,64429.0,3881.0,21.113045370471113,22.69,10.26003699271026
Alabama,AL,Calhoun County,116429.0,48530.0,0.41682055158079173,16910.0,45125.0,71879.0,55826.0,28018.0,87795.0,71552.0,19558.0,16.798220374648928,44.75,14.523872918259196
Alabama,AL,Chambers County,34079.0,14221.0,0.417295108424543,3682.0,13419.0,65673.0,49295.0,8945.0,76301.0,63313.0,5214.0,15.29974471081898,23.25,10.804307638134922
Alabama,AL,Cherokee County,25666.0,12984.0,0.5058832696953167,3028.0,10477.0,71062.0,50769.0,6839.0,84396.0,66392.0,3606.0,14.049715577027975,75.52,11.797709031403413
Alabama,AL,Chilton County,46431.0,19728.0,0.4248885442915294,4740.0,17554.0,75680.0,61873.0,12072.0,88765.0,74137.0,6111.0,13.161465400271371,72.09,10.208696775860956
Alabama,AL,Choctaw County,12252.0,6646.0,0.5424420502775057,1284.0,5174.0,63315.0,44483.0,3212.0,80815.0,65982.0,2413.0,19.694743715311784,23.89,10.479921645445641
Alabama,AL,Clarke County,22337.0,11946.0,0.5348077181358284,2573.0,8452.0,73965.0,49167.0,5314.0,96688.0,72578.0,4607.0,20.624972019519184,17.06,11.519004342570623
Alabama,AL,Clay County,14111.0,6757.0,0.47884629012826874,1609.0,5765.0,71247.0,51852.0,4232.0,81569.0,61750.0,2295.0,16.263907589823543,70.16,11.402451987810927
Alabama,AL,Cleburne County,15639.0,7637.0,0.4883304559115033,2014.0,5849.0,73100.0,53319.0,3909.0,90856.0,76694.0,1984.0,12.68623313511094,83.58,12.878061257113627
Alabama,AL,Coffee County,55643.0,22270.0,0.4002300379203134,8376.0,20860.0,81266.0,64672.0,14012.0,94455.0,79929.0,9409.0,16.909584314289308,57.9,15.053106410509859
Alabama,AL,Colbert County,58361.0,27086.0,0.46411130720858107,8606.0,24217.0,74264.0,56736.0,15427.0,88025.0,70711.0,9626.0,16.49389146861774,46.43,14.746148969345969
Alabama,AL,Conecuh County,11174.0,6043.0,0.5408090209414713,1069.0,4528.0,61553.0,42266.0,2799.0,73709.0,55625.0,3125.0,27.966708430284587,13.95,9.566851619831752
Alabama,AL,Coosa County,10268.0,5264.0,0.5126606934164394,1198.0,4201.0,69698.0,57063.0,2735.0,80488.0,68369.0,1161.0,11.306973120373977,43.31,11.667315932995715
Alabama,AL,Covington County,37952.0,17072.0,0.44983136593591905,4664.0,14495.0,73109.0,50886.0,9579.0,85793.0,65570.0,6681.0,17.60381534569983,72.42,12.289207419898819
Alabama,AL,Crenshaw County,13101.0,6480.0,0.49461873139455004,1542.0,5075.0,70635.0,49040.0,3111.0,90296.0,66523.0,2081.0,15.88428364247004,54.68,11.770093885962904
Alabama,AL,Cullman County,92016.0,43052.0,0.4678751521474526,12218.0,34543.0,78002.0,60916.0,24110.0,91102.0,76098.0,12299.0,13.366153712397843,80.52,13.278125543383759
Alabama,AL,Dale County,49871.0,19103.0,0.383048264522468,6961.0,19769.0,69759.0,53955.0,12374.0,82622.0,69752.0,9078.0,18.202963646207216,52.31,13.95801167010888
Alabama,AL,Dallas County,36165.0,15528.0,0.42936540854417254,4429.0,15416.0,55600.0,36810.0,8848.0,69114.0,52752.0,10748.0,29.71934190515692,-32.5,12.246647310935987
