district,candidate_1,party_1,votes_1,percent_1,winner_1,incumbent_1,flipped,candidate_2,party_2,votes_2,percent_2,winner_2,incumbent_2,total_votes,margin,house_turnout
AK 01,Begich,R,164861.0,50.03,True,False,False,Peltola,D,156985.0,47.64,False,True,321846.0,2.3900000000000006,60.09578848110838
AL 01,Moore,R,258619.0,78.48,True,True,False,Holmes,D,70929.0,21.52,False,False,329548.0,56.96000000000001,59.80636087291865
AL 02,Figures,D,158041.0,54.6,True,False,False,Dobson,R,131414.0,45.4,False,False,289455.0,-9.200000000000003,53.65345048100985
AL 03,Rogers,R,243848.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,243848.0,100.0,43.847301889845895
AL 04,Aderholt,R,274498.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,274498.0,100.0,50.86923084050666
AL 05,Strong,R,250322.0,100.0,True,True,False,NA,NA,0.0,0.0,NA,NA,250322.0,100.0,45.06692831873543
AL 06,Palmer,R,243741.0,70.4,True,True,False,Anderson,D,102504.0,29.6,False,False,346245.0,40.800000000000004,65.51776337575099
AL 07,Sewell,D,186723.0,63.72,True,True,False,Litaker,R,106312.0,36.28,False,False,293035.0,-27.439999999999998,52.86720730310219
AR 01,Crawford,R,194711.0,72.88,True,True,False,Govens,D,64113.0,24.0,False,False,258824.0,48.879999999999995,45.48072783503343
AR 02,Hill,R,180509.0,58.93,True,True,False,Jones,D,125777.0,41.07,False,False,306286.0,17.86,54.16724880403929
AR 03,Womack,R,192101.0,63.8,True,True,False,Draper,D,95652.0,31.77,False,False,287753.0,32.03,53.95554222176388
AR 04,Westerman,R,197046.0,72.91,True,True,False,Howard,D,73207.0,27.09,False,False,270253.0,45.81999999999999,47.72722054940883
AZ 01,Schweikert,R,225538.0,51.91,True,True,False,Shah,D,208966.0,48.09,False,False,434504.0,3.819999999999993,70.72983729845438
AZ 02,Crane,R,221413.0,54.48,True,True,False,Nez,D,184963.0,45.52,False,False,406376.0,8.959999999999994,65.38421933324751
AZ 03,Ansari,D,143336.0,70.94,True,False,False,Zink,R,53705.0,26.58,False,False,197041.0,-44.36,42.989669353870994
AZ 04,Stanton,D,176428.0,52.74,True,True,False,Cooper,R,152052.0,45.45,False,False,328480.0,-7.289999999999999,56.19942171807901
AZ 05,Biggs,R,255628.0,60.39,True,True,False,Schaffner,D,167680.0,39.61,False,False,423308.0,20.78,73.39222400416106
AZ 06,Ciscomani,R,215596.0,50.01,True,True,False,Engel,D,204774.0,47.5,False,False,420370.0,2.509999999999998,67.58577446220136
AZ 07,Grijalva,D,171954.0,63.45,True,True,False,Butierez,R,99057.0,36.55,False,False,271011.0,-26.900000000000006,50.29013073047626
AZ 08,Hamadeh,R,208269.0,56.5,True,False,False,Whitten,D,160344.0,43.5,False,False,368613.0,13.0,62.15494347067304
AZ 09,Gosar,R,249583.0,65.3,True,True,False,Smith,D,132640.0,34.7,False,False,382223.0,30.599999999999994,62.53239316798639
CA 01,LaMalfa,R,208592.0,65.34,True,True,False,Yee,D,110636.0,34.66,False,False,319228.0,30.680000000000007,57.79608389835879
CA 02,Huffman,D,272883.0,71.88,True,True,False,Coulombe,R,106734.0,28.12,False,False,379617.0,-43.75999999999999,67.61970074812967
CA 03,Kiley,R,234246.0,55.47,True,True,False,Morse,D,188067.0,44.53,False,False,422313.0,10.939999999999998,72.87792503623939
CA 04,Thompson,D,227730.0,66.46,True,True,False,Munn,R,114950.0,33.54,False,False,342680.0,-32.919999999999995,62.83152577489709
CA 05,McClintock,R,227643.0,61.77,True,True,False,Barkley,D,140919.0,38.23,False,False,368562.0,23.540000000000006,65.35888137186228
CA 06,Bera,D,165408.0,57.62,True,True,False,Bish,R,121664.0,42.38,False,False,287072.0,-15.239999999999995,55.74646574491222
CA 07,Matsui,D,197429.0,66.75,True,True,False,Silva,R,98341.0,33.25,False,False,295770.0,-33.5,55.811452131825
CA 08,Garamendi,D,201962.0,73.97,True,True,False,Recile,R,71068.0,26.03,False,False,273030.0,-47.94,55.10970268251821
CA 09,Harder,D,130183.0,51.79,True,True,False,Lincoln,R,121174.0,48.21,False,False,251357.0,-3.5799999999999983,52.05479735746681
CA 10,DeSaulnier,D,242325.0,66.47,True,True,False,Piccinini,R,122219.0,33.53,False,False,364544.0,-32.94,69.88555106109695
CA 11,Pelosi,D,274796.0,81.0,True,True,False,Lou,R,64315.0,19.0,False,False,339111.0,-62.0,62.405984596840234
CA 12,Simon,D,185176.0,65.43,True,False,False,Tran,D,97849.0,34.57,False,False,283025.0,-30.860000000000007,54.30621780050464
CA 13,Gray,D,105554.0,50.04,True,False,False,Duarte,R,105367.0,49.96,False,True,210921.0,-0.0799999999999983,49.16057756179421
CA 14,Swalwell,D,187263.0,67.75,True,True,False,Kruttiventi,R,89125.0,32.25,False,False,276388.0,-35.5,58.38299130765412
CA 15,Mullin,D,211648.0,73.1,True,True,False,Kramer,R,77896.0,26.9,False,False,289544.0,-46.199999999999996,59.067708439584656
CA 16,Liccardo,D,179583.0,58.22,True,False,False,Low,D,128893.0,41.78,False,False,308476.0,-16.439999999999998,63.84882072298633
CA 17,Khanna,D,172462.0,67.66,True,True,False,Chen,R,82415.0,32.34,False,False,254877.0,-35.31999999999999,60.286677310626224
CA 18,Lofgren,D,147674.0,64.63,True,True,False,Hernandez,R,80832.0,35.37,False,False,228506.0,-29.259999999999998,54.98153294594628
CA 19,Panetta,D,252458.0,69.3,True,True,False,Anderson,R,111862.0,30.7,False,False,364320.0,-38.599999999999994,67.57929883138564
CA 20,Fong,R,187862.0,65.05,True,True,False,Boudreaux,R,100926.0,34.95,False,False,288788.0,30.099999999999994,54.65432729612597
CA 21,Costa,D,102798.0,52.57,True,True,False,Maher,R,92733.0,47.43,False,False,195531.0,-5.140000000000001,43.80812618324801
CA 22,Valadao,R,89484.0,53.42,True,True,False,Salas,D,78023.0,46.58,False,False,167507.0,6.840000000000003,40.186409164517485
CA 23,Obernolte,R,159286.0,60.14,True,True,False,Marshall,D,105563.0,39.86,False,False,264849.0,20.28,51.571691444928
CA 24,Carbajal,D,214724.0,62.7,True,True,False,Cole,R,127755.0,37.3,False,False,342479.0,-25.400000000000006,63.99144237147208
CA 25,Ruiz,D,137837.0,56.25,True,True,False,Weeks,R,107194.0,43.75,False,False,245031.0,-12.5,50.3402157164869
CA 26,Brownley,D,187393.0,56.05,True,True,False,Koslow,R,146913.0,43.95,False,False,334306.0,-12.099999999999994,66.04097113846032
CA 27,Whitesides,D,154040.0,51.33,True,False,False,Garcia,R,146050.0,48.67,False,True,300090.0,-2.6599999999999966,60.19799199606825
CA 28,Chu,D,204489.0,64.93,True,True,False,Verlato,R,110455.0,35.07,False,False,314944.0,-29.860000000000007,60.81584969055642
CA 29,Rivas,D,146312.0,69.78,True,False,False,Bernal,R,63374.0,30.22,False,False,209686.0,-39.56,47.35884000361369
CA 30,Friedman,D,213100.0,68.38,True,False,False,Balekian,R,98559.0,31.62,False,False,311659.0,-36.75999999999999,57.14843678371688
CA 31,Cisneros,D,148095.0,59.73,True,False,False,Martinez,R,99856.0,40.27,False,False,247951.0,-19.459999999999994,51.29260144185517
CA 32,Sherman,D,212934.0,66.2,True,True,False,Thompson,R,108711.0,33.8,False,False,321645.0,-32.400000000000006,59.294319344461755
CA 33,Aguilar,D,137197.0,58.81,True,True,False,Herman,R,96078.0,41.19,False,False,233275.0,-17.620000000000005,49.156060350640594
CA 34,Gomez,D,105394.0,55.64,True,True,False,Kim,D,84020.0,44.36,False,False,189414.0,-11.280000000000001,44.27474492479226
CA 35,Torres,D,136413.0,58.41,True,True,False,Cargile,R,97142.0,41.59,False,False,233555.0,-16.819999999999993,49.32159185699051
CA 36,Lieu,D,246002.0,68.72,True,True,False,Toomim,R,111985.0,31.28,False,False,357987.0,-37.44,65.81732271883216
CA 37,Kamlager-Dove,D,160364.0,78.3,True,True,False,Rey,NX,44450.0,21.7,False,False,204814.0,-56.599999999999994,47.16662636590786
CA 38,Sanchez,D,165110.0,59.84,True,True,False,Ching,R,110818.0,40.16,False,False,275928.0,-19.680000000000007,54.33150868349546
CA 39,Takano,D,130191.0,56.69,True,True,False,Serpa,R,99469.0,43.31,False,False,229660.0,-13.379999999999995,47.75777992659368
CA 40,Kim,R,211998.0,55.26,True,True,False,Kerr,D,171637.0,44.74,False,False,383635.0,10.519999999999996,71.69139632232022
CA 41,Calvert,R,183216.0,51.69,True,True,False,Rollins,D,171229.0,48.31,False,False,354445.0,3.3799999999999955,64.05381716980962
CA 42,Garcia,D,159153.0,68.14,True,True,False,Briscoe,R,74410.0,31.86,False,False,233563.0,-36.28,51.459763150647206
CA 43,Waters,D,160080.0,75.07,True,True,False,Williams,R,53152.0,24.93,False,False,213232.0,-50.13999999999999,49.717756508154864
