district,total_votes,cvap_est,vap_turnout_rate
AL 01,329548,551025,59.80636087291865
AL 02,289455,539490,53.65345048100985
AL 03,243848,556130,43.847301889845895
AL 04,274498,539615,50.86923084050666
AL 05,250322,555445,45.06692831873543
AL 06,346245,528475,65.51776337575099
AL 07,293035,554285,52.86720730310219
AK 01,321846,535555,60.09578848110838
AZ 01,434504,614315,70.72983729845438
AZ 02,406376,621520,65.38421933324751
AZ 03,197041,458345,42.989669353870994
AZ 04,328480,584490,56.19942171807901
AZ 05,423308,576775,73.39222400416106
AZ 06,420370,621980,67.58577446220136
AZ 07,271011,538895,50.29013073047626
AZ 08,368613,593055,62.15494347067304
AZ 09,382223,611240,62.53239316798639
AR 01,258824,569085,45.48072783503343
AR 02,306286,565445,54.16724880403929
AR 03,287753,533315,53.95554222176388
AR 04,270253,566245,47.72722054940883
CA 01,319228,552335,57.79608389835879
CA 02,379617,561400,67.61970074812967
CA 03,422313,579480,72.87792503623939
CA 04,342680,545395,62.83152577489709
CA 05,368562,563905,65.35888137186228
CA 06,287072,514960,55.74646574491222
CA 07,295770,529945,55.811452131825
CA 08,273030,495430,55.10970268251821
CA 09,251357,482870,52.05479735746681
CA 10,364544,521630,69.88555106109695
CA 11,339111,543395,62.405984596840234
CA 12,283025,521165,54.30621780050464
CA 13,210921,429045,49.16057756179421
CA 14,276388,473405,58.38299130765412
CA 15,289544,490190,59.067708439584656
CA 16,308476,483135,63.84882072298633
CA 17,254877,422775,60.286677310626224
CA 18,228506,415605,54.98153294594628
CA 19,364320,539100,67.57929883138564
CA 20,288788,528390,54.65432729612597
CA 21,195531,446335,43.80812618324801
CA 22,167507,416825,40.186409164517485
CA 23,264849,513555,51.571691444928
CA 24,342479,535195,63.99144237147208
CA 25,245031,486750,50.3402157164869
CA 26,334306,506210,66.04097113846032
CA 27,300090,498505,60.19799199606825
CA 28,314944,517865,60.81584969055642
CA 29,209686,442760,47.35884000361369
CA 30,311659,545350,57.14843678371688
CA 31,247951,483405,51.29260144185517
CA 32,321645,542455,59.294319344461755
CA 33,233275,474560,49.156060350640594
CA 34,189414,427815,44.27474492479226
