state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,state_code
Hawaii,15005,Kalawao County,3,15,18,12,16.67,83.33,-66.67,HI
Alabama,1001,Autauga County,20484,7439,28190,13045,72.66,26.39,46.28,AL
Alabama,1003,Baldwin County,95798,24934,121808,70864,78.65,20.47,58.18,AL
Alabama,1005,Barbour County,5606,4158,9832,1448,57.02,42.29,14.73,AL
Alabama,1007,Bibb County,7572,1619,9241,5953,81.94,17.52,64.42,AL
Alabama,1009,Blount County,25354,2576,28115,22778,90.18,9.16,81.02,AL
Alabama,1011,Bullock County,1101,2983,4106,-1882,26.81,72.65,-45.84,AL
Alabama,1013,Butler County,5172,3251,8467,1921,61.08,38.4,22.69,AL
Alabama,1015,Calhoun County,34912,13194,48530,21718,71.94,27.19,44.75,AL
Alabama,1017,Chambers County,8711,5405,14221,3306,61.25,38.01,23.25,AL
Alabama,1019,Cherokee County,11358,1553,12984,9805,87.48,11.96,75.52,AL
Alabama,1021,Chilton County,16920,2698,19728,14222,85.77,13.68,72.09,AL
Alabama,1023,Choctaw County,4103,2515,6646,1588,61.74,37.84,23.89,AL
Alabama,1025,Clarke County,6965,4927,11946,2038,58.3,41.24,17.06,AL
Alabama,1027,Clay County,5734,993,6757,4741,84.86,14.7,70.16,AL
Alabama,1029,Cleburne County,6988,605,7637,6383,91.5,7.92,83.58,AL
Alabama,1031,Coffee County,17495,4601,22270,12894,78.56,20.66,57.9,AL
Alabama,1033,Colbert County,19714,7137,27086,12577,72.78,26.35,46.43,AL
Alabama,1035,Conecuh County,3423,2580,6043,843,56.64,42.69,13.95,AL
Alabama,1037,Coosa County,3758,1478,5264,2280,71.39,28.08,43.31,AL
Alabama,1039,Covington County,14677,2314,17072,12363,85.97,13.55,72.42,AL
Alabama,1041,Crenshaw County,5000,1457,6480,3543,77.16,22.48,54.68,AL
Alabama,1043,Cullman County,38704,4039,43052,34665,89.9,9.38,80.52,AL
Alabama,1045,Dale County,14476,4484,19103,9992,75.78,23.47,52.31,AL
