Year,State,State Code,Democratic Party Candidate,Total D Votes,D Vote Percentage,D EVs,Republican Party Candidate,Total R Votes,R Vote Percentage,R EVs,Total Others Votes,Others Vote Percentage,Total Votes
2024,Alabama,AL,Kamala Harris,772412,34.1,,Donald Trump,1462616,64.57,9.0,30062,1.33,2265090
2024,Alaska,AK,Kamala Harris,140026,41.41,,Donald Trump,184458,54.54,3.0,13693,4.05,338177
2024,Arizona,AZ,Kamala Harris,1582860,46.69,,Donald Trump,1770242,52.22,11.0,37059,1.09,3390161
2024,Arkansas,AR,Kamala Harris,396905,33.56,,Donald Trump,759241,64.2,6.0,26530,2.24,1182676
2024,California,CA,Kamala Harris,9276179,58.47,54.0,Donald Trump,6081697,38.33,,507599,3.2,15865475
2024,Colorado,CO,Kamala Harris,1728159,54.13,10.0,Donald Trump,1377441,43.14,,87145,2.73,3192745
2024,Connecticut,CT,Kamala Harris,992053,56.4,7.0,Donald Trump,736918,41.89,,30039,1.71,1759010
2024,Delaware,DE,Kamala Harris,289758,56.49,3.0,Donald Trump,214351,41.79,,8803,1.72,512912
2024,District of Columbia,DC,Kamala Harris,294185,90.28,3.0,Donald Trump,21076,6.47,,10608,3.26,325869
2024,Florida,FL,Kamala Harris,4683038,42.99,,Donald Trump,6110125,56.09,30.0,100589,0.92,10893752
2024,Georgia,GA,Kamala Harris,2548017,48.53,,Donald Trump,2663117,50.72,16.0,39771,0.76,5250905
2024,Hawaii,HI,Kamala Harris,313044,60.59,4.0,Donald Trump,193661,37.48,,9996,1.93,516701
2024,Idaho,ID,Kamala Harris,274972,30.38,,Donald Trump,605246,66.87,4.0,24839,2.74,905057
2024,Illinois,IL,Kamala Harris,3062863,54.37,19.0,Donald Trump,2449079,43.47,,121368,2.15,5633310
2024,Indiana,IN,Kamala Harris,1163603,39.62,,Donald Trump,1720347,58.58,11.0,52727,1.8,2936677
2024,Iowa,IA,Kamala Harris,707278,42.52,,Donald Trump,927019,55.73,6.0,29209,1.76,1663506
2024,Kansas,KS,Kamala Harris,544853,41.04,,Donald Trump,758802,57.16,6.0,23936,1.8,1327591
2024,Kentucky,KY,Kamala Harris,704043,33.94,,Donald Trump,1337494,64.47,8.0,32993,1.59,2074530
2024,Louisiana,LA,Kamala Harris,766870,38.21,,Donald Trump,1208505,60.22,8.0,31600,1.57,2006975
2024,Maine,ME,Kamala Harris,435652,52.4,3.0,Donald Trump,377977,45.46,1.0,17746,2.13,831375
2024,Maryland,MD,Kamala Harris,1902577,62.62,10.0,Donald Trump,1035550,34.08,,100207,3.3,3038334
2024,Massachusetts,MA,Kamala Harris,2126518,61.22,11.0,Donald Trump,1251303,36.02,,95847,2.76,3473668
2024,Michigan,MI,Kamala Harris,2736533,48.31,,Donald Trump,2816636,49.73,15.0,111017,1.96,5664186
2024,Minnesota,MN,Kamala Harris,1656979,50.92,10.0,Donald Trump,1519032,46.68,,77909,2.39,3253920
2024,Mississippi,MS,Kamala Harris,466668,38.0,,Donald Trump,747744,60.89,6.0,13596,1.11,1228008
2024,Missouri,MO,Kamala Harris,1200599,40.08,,Donald Trump,1751986,58.49,10.0,42742,1.43,2995327
2024,Montana,MT,Kamala Harris,231906,38.46,,Donald Trump,352079,58.39,4.0,19005,3.15,602990
2024,Nebraska,NE,Kamala Harris,369995,38.86,1.0,Donald Trump,564816,59.32,4.0,17371,1.82,952182
2024,Nevada,NV,Kamala Harris,705197,47.49,,Donald Trump,751205,50.59,6.0,28438,1.92,1484840
2024,New Hampshire,NH,Kamala Harris,418488,50.65,4.0,Donald Trump,395523,47.87,,12178,1.47,826189
2024,New Jersey,NJ,Kamala Harris,2220713,51.97,14.0,Donald Trump,1968215,46.06,,83797,1.96,4272725
2024,New Mexico,NM,Kamala Harris,478802,51.85,5.0,Donald Trump,423391,45.85,,21210,2.3,923403
2024,New York,NY,Kamala Harris,4619195,55.91,28.0,Donald Trump,3578899,43.31,,64401,0.78,8262495
2024,North Carolina,NC,Kamala Harris,2715375,47.65,,Donald Trump,2898423,50.86,16.0,85343,1.5,5699141
