state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,state_code
Hawaii,15005,Kalawao County,3.0,15.0,18.0,12.0,16.67,83.33,-66.67,HI
Alabama,1001,Autauga County,20484.0,7439.0,28190.0,13045.0,72.66,26.39,46.28,AL
Alabama,1003,Baldwin County,95798.0,24934.0,121808.0,70864.0,78.65,20.47,58.18,AL
Alabama,1005,Barbour County,5606.0,4158.0,9832.0,1448.0,57.02,42.29,14.73,AL
Alabama,1007,Bibb County,7572.0,1619.0,9241.0,5953.0,81.94,17.52,64.42,AL
Alabama,1009,Blount County,25354.0,2576.0,28115.0,22778.0,90.18,9.16,81.02,AL
Alabama,1011,Bullock County,1101.0,2983.0,4106.0,-1882.0,26.81,72.65,-45.84,AL
Alabama,1013,Butler County,5172.0,3251.0,8467.0,1921.0,61.08,38.4,22.69,AL
Alabama,1015,Calhoun County,34912.0,13194.0,48530.0,21718.0,71.94,27.19,44.75,AL
Alabama,1017,Chambers County,8711.0,5405.0,14221.0,3306.0,61.25,38.01,23.25,AL
Alabama,1019,Cherokee County,11358.0,1553.0,12984.0,9805.0,87.48,11.96,75.52,AL
Alabama,1021,Chilton County,16920.0,2698.0,19728.0,14222.0,85.77,13.68,72.09,AL
Alabama,1023,Choctaw County,4103.0,2515.0,6646.0,1588.0,61.74,37.84,23.89,AL
Alabama,1025,Clarke County,6965.0,4927.0,11946.0,2038.0,58.3,41.24,17.06,AL
Alabama,1027,Clay County,5734.0,993.0,6757.0,4741.0,84.86,14.7,70.16,AL
Alabama,1029,Cleburne County,6988.0,605.0,7637.0,6383.0,91.5,7.92,83.58,AL
Alabama,1031,Coffee County,17495.0,4601.0,22270.0,12894.0,78.56,20.66,57.9,AL
Alabama,1033,Colbert County,19714.0,7137.0,27086.0,12577.0,72.78,26.35,46.43,AL
Alabama,1035,Conecuh County,3423.0,2580.0,6043.0,843.0,56.64,42.69,13.95,AL
Alabama,1037,Coosa County,3758.0,1478.0,5264.0,2280.0,71.39,28.08,43.31,AL
Alabama,1039,Covington County,14677.0,2314.0,17072.0,12363.0,85.97,13.55,72.42,AL
Alabama,1041,Crenshaw County,5000.0,1457.0,6480.0,3543.0,77.16,22.48,54.68,AL
Alabama,1043,Cullman County,38704.0,4039.0,43052.0,34665.0,89.9,9.38,80.52,AL
Alabama,1045,Dale County,14476.0,4484.0,19103.0,9992.0,75.78,23.47,52.31,AL
Alabama,1047,Dallas County,5190.0,10236.0,15528.0,-5046.0,33.42,65.92,-32.5,AL
Alabama,1049,DeKalb County,25633.0,3758.0,29583.0,21875.0,86.65,12.7,73.94,AL
Alabama,1051,Elmore County,31374.0,9774.0,41491.0,21600.0,75.62,23.56,52.06,AL
Alabama,1053,Escambia County,10884.0,3964.0,14929.0,6920.0,72.91,26.55,46.35,AL
Alabama,1055,Etowah County,35653.0,10027.0,46023.0,25626.0,77.47,21.79,55.68,AL
Alabama,1057,Fayette County,7158.0,1142.0,8356.0,6016.0,85.66,13.67,72.0,AL
Alabama,1059,Franklin County,10417.0,1568.0,12077.0,8849.0,86.25,12.98,73.27,AL
Alabama,1061,Geneva County,10929.0,1391.0,12390.0,9538.0,88.21,11.23,76.98,AL
Alabama,1063,Greene County,885.0,3133.0,4035.0,-2248.0,21.93,77.65,-55.71,AL
Alabama,1065,Hale County,3369.0,3868.0,7290.0,-499.0,46.21,53.06,-6.84,AL
Alabama,1067,Henry County,6989.0,2263.0,9301.0,4726.0,75.14,24.33,50.81,AL
Alabama,1069,Houston County,32469.0,11352.0,44195.0,21117.0,73.47,25.69,47.78,AL
Alabama,1071,Jackson County,20073.0,3276.0,23509.0,16797.0,85.38,13.94,71.45,AL
Alabama,1073,Jefferson County,131123.0,162112.0,296741.0,-30989.0,44.19,54.63,-10.44,AL
Alabama,1075,Lamar County,6033.0,806.0,6875.0,5227.0,87.75,11.72,76.03,AL
Alabama,1077,Lauderdale County,32708.0,10326.0,43454.0,22382.0,75.27,23.76,51.51,AL
Alabama,1079,Lawrence County,13024.0,2983.0,16115.0,10041.0,80.82,18.51,62.31,AL
Alabama,1081,Lee County,46020.0,25798.0,72695.0,20222.0,63.31,35.49,27.82,AL
Alabama,1083,Limestone County,37887.0,14581.0,53096.0,23306.0,71.36,27.46,43.89,AL
Alabama,1085,Lowndes County,1758.0,3867.0,5652.0,-2109.0,31.1,68.42,-37.31,AL
Alabama,1087,Macon County,1682.0,6084.0,7820.0,-4402.0,21.51,77.8,-56.29,AL
Alabama,1089,Madison County,105430.0,87824.0,196355.0,17606.0,53.69,44.73,8.97,AL
Alabama,1091,Marengo County,4995.0,4631.0,9673.0,364.0,51.64,47.88,3.76,AL
Alabama,1093,Marion County,12245.0,1197.0,13523.0,11048.0,90.55,8.85,81.7,AL
Alabama,1095,Marshall County,34434.0,5553.0,40277.0,28881.0,85.49,13.79,71.71,AL
Alabama,1097,Mobile County,100759.0,72055.0,174545.0,28704.0,57.73,41.28,16.45,AL
Alabama,1099,Monroe County,6007.0,3740.0,9799.0,2267.0,61.3,38.17,23.14,AL
Alabama,1101,Montgomery County,30477.0,57946.0,89375.0,-27469.0,34.1,64.83,-30.73,AL
Alabama,1103,Morgan County,40449.0,12392.0,53369.0,28057.0,75.79,23.22,52.57,AL
Alabama,1105,Perry County,1269.0,3174.0,4457.0,-1905.0,28.47,71.21,-42.74,AL
Alabama,1107,Pickens County,5465.0,3388.0,8898.0,2077.0,61.42,38.08,23.34,AL
Alabama,1109,Pike County,8224.0,4899.0,13214.0,3325.0,62.24,37.07,25.16,AL
Alabama,1111,Randolph County,9102.0,1920.0,11075.0,7182.0,82.19,17.34,64.85,AL
Alabama,1113,Russell County,10078.0,10422.0,20679.0,-344.0,48.74,50.4,-1.66,AL
Alabama,1115,St. Clair County,35501.0,7640.0,43440.0,27861.0,81.72,17.59,64.14,AL
Alabama,1117,Shelby County,79666.0,33087.0,114043.0,46579.0,69.86,29.01,40.84,AL
Alabama,1119,Sumter County,1542.0,3725.0,5297.0,-2183.0,29.11,70.32,-41.21,AL
Alabama,1121,Talladega County,22100.0,10898.0,33175.0,11202.0,66.62,32.85,33.77,AL
Alabama,1123,Tallapoosa County,14884.0,4975.0,19980.0,9909.0,74.49,24.9,49.59,AL
Alabama,1125,Tuscaloosa County,50724.0,33399.0,84879.0,17325.0,59.76,39.35,20.41,AL
