state,state_abbrev,office_seat_name,special,candidate_name,ballot_party,votes,percent
Vermont,VT,Class I,False,Gerald Malloy,REP,116512.0,32.07461466250795
Vermont,VT,Class I,False,Bernie Sanders,IND,229429.0,63.159560967149616
Wyoming,WY,Class I,False,Scott D. Morrow,DEM,63727.0,24.124211657997744
Wyoming,WY,Class I,False,John Barrasso,REP,198418.0,75.11224173045328
Michigan,MI,Class I,False,Mike Rogers,REP,2693680.0,48.29818329562914
Michigan,MI,Class I,False,Elissa Slotkin,DEM,2712686.0,48.638964409836
Texas,TX,Class I,False,Colin Allred,DEM,5031249.0,44.55644750631739
Texas,TX,Class I,False,Ted Cruz,REP,5990741.0,53.05365265969609
Ohio,OH,Class I,False,Bernie Moreno,REP,2857383.0,50.08892792157936
Ohio,OH,Class I,False,Sherrod Brown,DEM,2650949.0,46.470211863366885
New Mexico,NM,Class I,False,Nella Louise Domenici,REP,405978.0,44.94332516707978
New Mexico,NM,Class I,False,Martin Heinrich,DEM,497333.0,55.05667483292023
Massachusetts,MA,Class I,False,John Deaton,REP,1365445.0,40.00297068078687
Massachusetts,MA,Class I,False,Elizabeth Ann Warren,DEM,2041693.0,59.81477483030645
Minnesota,MN,Class I,False,Amy Klobuchar,DEM,1792441.0,56.201300401370446
Minnesota,MN,Class I,False,Royce White,REP,1291712.0,40.501134566803046
Mississippi,MS,Class I,False,Roger F. Wicker,REP,763420.0,62.81219120273885
Mississippi,MS,Class I,False,Ty Pinkins,DEM,451981.0,37.18780879726115
Montana,MT,Class I,False,Tim Sheehy,REP,319682.0,52.6431754333385
Montana,MT,Class I,False,Jon Tester,DEM,276305.0,45.5001300921184
Nebraska,NE,Class I,False,Dan Osborn,IND,436493.0,46.51777188555059
Nebraska,NE,Class I,False,Deb Fischer,REP,499124.0,53.19245984380861
Nebraska,NE,Class II,True,Preston Love Jr.,DEM,349902.0,37.42247367661136
Nebraska,NE,Class II,True,Pete Ricketts,REP,585103.0,62.577526323388646
Nevada,NV,Class I,False,Sam Brown,REP,677046.0,46.22332610559776
Nevada,NV,Class I,False,Jacky S. Rosen,DEM,701105.0,47.86588363163673
North Dakota,ND,Class I,False,Katrina Christiansen,DEM,121602.0,33.377158431848315
North Dakota,ND,Class I,False,Kevin Cramer,REP,241569.0,66.3055441951873
Missouri,MO,Class I,False,Lucas Kunce,DEM,1243728.0,41.84031334617749
Missouri,MO,Class I,False,Josh Hawley,REP,1651907.0,55.57188267751793
Pennsylvania,PA,Class I,False,Dave McCormick,REP,3399295.0,48.8184420326643
