state_name,state_code,county_name,college_educated
Alabama,AL,Autauga County,11855
Alabama,AL,Baldwin County,58029
Alabama,AL,Barbour County,2070
Alabama,AL,Bibb County,1915
Alabama,AL,Blount County,6562
Alabama,AL,Bullock County,664
Alabama,AL,Butler County,1886
Alabama,AL,Calhoun County,16910
Alabama,AL,Chambers County,3682
Alabama,AL,Cherokee County,3028
Alabama,AL,Chilton County,4740
Alabama,AL,Choctaw County,1284
Alabama,AL,Clarke County,2573
Alabama,AL,Clay County,1609
Alabama,AL,Cleburne County,2014
Alabama,AL,Coffee County,8376
Alabama,AL,Colbert County,8606
Alabama,AL,Conecuh County,1069
Alabama,AL,Coosa County,1198
Alabama,AL,Covington County,4664
Alabama,AL,Crenshaw County,1542
Alabama,AL,Cullman County,12218
Alabama,AL,Dale County,6961
Alabama,AL,Dallas County,4429
Alabama,AL,DeKalb County,7188
Alabama,AL,Elmore County,15438
Alabama,AL,Escambia County,3303
Alabama,AL,Etowah County,13053
Alabama,AL,Fayette County,1750
Alabama,AL,Franklin County,3300
Alabama,AL,Geneva County,2598
Alabama,AL,Greene County,771
Alabama,AL,Hale County,1678
Alabama,AL,Henry County,2831
Alabama,AL,Houston County,17350
Alabama,AL,Jackson County,6019
Alabama,AL,Jefferson County,171948
Alabama,AL,Lamar County,1163
Alabama,AL,Lauderdale County,18548
Alabama,AL,Lawrence County,3781
Alabama,AL,Lee County,48830
Alabama,AL,Limestone County,23591
Alabama,AL,Lowndes County,1043
Alabama,AL,Macon County,2553
Alabama,AL,Madison County,130553
Alabama,AL,Marengo County,2737
Alabama,AL,Marion County,2830
Alabama,AL,Marshall County,14279
Alabama,AL,Mobile County,73119
Alabama,AL,Monroe County,1571
Alabama,AL,Montgomery County,53493
Alabama,AL,Morgan County,20341
Alabama,AL,Perry County,886
Alabama,AL,Pickens County,2006
Alabama,AL,Pike County,5806
Alabama,AL,Randolph County,3275
Alabama,AL,Russell County,7164
Alabama,AL,St. Clair County,13644
Alabama,AL,Shelby County,74884
Alabama,AL,Sumter County,1406
Alabama,AL,Talladega County,10027
Alabama,AL,Tallapoosa County,5761
Alabama,AL,Tuscaloosa County,49295
Alabama,AL,Walker County,7460
Alabama,AL,Washington County,1841
Alabama,AL,Wilcox County,868
Alabama,AL,Winston County,2335
Alaska,AK,Aleutians East Borough,546
Alaska,AK,Aleutians West Census Area,728
Alaska,AK,Anchorage Municipality,74090
Alaska,AK,Bethel Census Area,1077
Alaska,AK,Bristol Bay Borough,175
Alaska,AK,Chugach Census Area,1465
Alaska,AK,Copper River Census Area,525
Alaska,AK,Denali Borough,393
Alaska,AK,Dillingham Census Area,564
Alaska,AK,Fairbanks North Star Borough,21377
Alaska,AK,Haines Borough,584
Alaska,AK,Hoonah-Angoon Census Area,420
Alaska,AK,Juneau City and Borough,9368
Alaska,AK,Kenai Peninsula Borough,12643
Alaska,AK,Ketchikan Gateway Borough,2740
Alaska,AK,Kodiak Island Borough,2439
Alaska,AK,Kusilvak Census Area,232
Alaska,AK,Lake and Peninsula Borough,134
Alaska,AK,Matanuska-Susitna Borough,18084
Alaska,AK,Nome Census Area,1043
Alaska,AK,North Slope Borough,1112
Alaska,AK,Northwest Arctic Borough,531
Alaska,AK,Petersburg Borough,689
Alaska,AK,Prince of Wales-Hyder Census Area,706
Alaska,AK,Sitka City and Borough,2196
Alaska,AK,Skagway Municipality,292
Alaska,AK,Southeast Fairbanks Census Area,965
Alaska,AK,Wrangell City and Borough,286
Alaska,AK,Yakutat City and Borough,59
Alaska,AK,Yukon-Koyukuk Census Area,470
Alaska,AK,All,155933
Arizona,AZ,Apache County,6615
Arizona,AZ,Cochise County,24873
Arizona,AZ,Coconino County,36848
Arizona,AZ,Gila County,7825
Arizona,AZ,Graham County,3861
Arizona,AZ,Greenlee County,1231
Arizona,AZ,La Paz County,1846
Arizona,AZ,Maricopa County,1146516
Arizona,AZ,Mohave County,25956
Arizona,AZ,Navajo County,13148
Arizona,AZ,Pima County,271507
Arizona,AZ,Pinal County,72312
Arizona,AZ,Santa Cruz County,7799
Arizona,AZ,Yavapai County,56593
Arizona,AZ,Yuma County,23556
Arkansas,AR,Arkansas County,1832
Arkansas,AR,Ashley County,1662
Arkansas,AR,Baxter County,6074
Arkansas,AR,Benton County,74335
Arkansas,AR,Boone County,4472
Arkansas,AR,Bradley County,1197
