state_code,county_name,_merge
AK,Aleutians East Borough,left_only
AK,Aleutians West Census Area,left_only
AK,Anchorage Municipality,left_only
AK,Bethel Census Area,left_only
AK,Bristol Bay Borough,left_only
AK,Chugach Census Area,left_only
AK,Copper River Census Area,left_only
AK,Denali Borough,left_only
AK,Dillingham Census Area,left_only
AK,Fairbanks North Star Borough,left_only
AK,Haines Borough,left_only
AK,Hoonah-Angoon Census Area,left_only
AK,Juneau City and Borough,left_only
AK,Kenai Peninsula Borough,left_only
AK,Ketchikan Gateway Borough,left_only
AK,Kodiak Island Borough,left_only
AK,Kusilvak Census Area,left_only
AK,Lake and Peninsula Borough,left_only
AK,Matanuska-Susitna Borough,left_only
AK,Nome Census Area,left_only
AK,North Slope Borough,left_only
AK,Northwest Arctic Borough,left_only
AK,Petersburg Borough,left_only
AK,Prince of Wales-Hyder Census Area,left_only
AK,Sitka City and Borough,left_only
AK,Skagway Municipality,left_only
AK,Southeast Fairbanks Census Area,left_only
AK,State House District 1,right_only
AK,State House District 10,right_only
AK,State House District 11,right_only
AK,State House District 12,right_only
AK,State House District 13,right_only
AK,State House District 14,right_only
AK,State House District 15,right_only
AK,State House District 16,right_only
AK,State House District 17,right_only
AK,State House District 18,right_only
AK,State House District 19,right_only
AK,State House District 2,right_only
AK,State House District 20,right_only
AK,State House District 21,right_only
AK,State House District 22,right_only
AK,State House District 23,right_only
AK,State House District 24,right_only
AK,State House District 25,right_only
AK,State House District 26,right_only
AK,State House District 27,right_only
AK,State House District 28,right_only
AK,State House District 29,right_only
AK,State House District 3,right_only
AK,State House District 30,right_only
AK,State House District 31,right_only
AK,State House District 32,right_only
AK,State House District 33,right_only
AK,State House District 34,right_only
AK,State House District 35,right_only
AK,State House District 36,right_only
AK,State House District 37,right_only
AK,State House District 38,right_only
AK,State House District 39,right_only
AK,State House District 4,right_only
AK,State House District 40,right_only
AK,State House District 5,right_only
AK,State House District 6,right_only
AK,State House District 7,right_only
AK,State House District 8,right_only
AK,State House District 9,right_only
AK,Wrangell City and Borough,left_only
AK,Yakutat City and Borough,left_only
AK,Yukon-Koyukuk Census Area,left_only
DC,District of Columbia,left_only
DC,Ward 1,right_only
DC,Ward 2,right_only
DC,Ward 3,right_only
DC,Ward 4,right_only
DC,Ward 5,right_only
DC,Ward 6,right_only
DC,Ward 7,right_only
DC,Ward 8,right_only
