SUMLEV,STATE,COUNTY,state_name,county_name,YEAR,AGEGRP,population,TOT_MALE,TOT_FEMALE,white_percent,black_percent,native_percent,asian_percent,pacific_percent,other_percent,hispanic_percent,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,H_MALE,H_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE,state_code,diff_percent,turnout_percent,_merge
50,1,1,Alabama,Autauga County,5,0,60342,29277,31065,74.46057472,21.40631732,0.495508932,1.309204203,0.139206523,2.189188293,3.853037685,22038,22893,6055,6862,148,151,342,448,48,36,1178,1147,646,675,22637,23504,6414,7262,312,338,509,601,82,71,28099,29918,21105,21957,5920,6746,114,128,330,440,26,26,604,621,21674,22530,6257,7118,263,287,484,580,48,52,933,936,135,116,34,23,12,8,22,10,42,54,963,974,157,144,49,51,25,21,34,19,AL,46.28,46.7170461701634,both
50,1,3,Alabama,Baldwin County,5,0,253507,123497,130010,87.37312974,8.438031297,0.848891747,1.151447495,0.069426091,2.119073635,5.782088858,108069,113428,10459,10932,1095,1057,1209,1710,77,99,7497,7161,2588,2784,110514,116047,11618,12250,2136,2170,1817,2387,206,256,116000,122849,101415,107140,10231,10611,825,829,1187,1684,51,82,2291,2503,103593,109507,11264,11793,1717,1795,1726,2282,147,198,6654,6288,228,321,270,228,22,26,26,17,297,281,6921,6540,354,457,419,375,91,105,59,58,AL,58.18,48.04916629521078,both
50,1,5,Alabama,Barbour County,5,0,24585,13066,11519,49.62782184,47.11409396,0.829774253,0.581655481,0.305064063,1.541590401,6.211104332,6488,5713,6151,5432,124,80,59,84,42,33,850,677,202,177,6649,5872,6287,5546,201,131,86,109,52,44,12216,10842,5831,5174,6067,5361,55,43,58,83,22,11,183,170,5978,5326,6192,5470,125,92,81,108,30,21,657,539,84,71,69,37,1,1,20,22,19,7,671,546,95,76,76,39,5,1,22,23,AL,14.73,39.99186495830791,both
50,1,7,Alabama,Bibb County,5,0,21868,11530,10338,76.67825133,20.61459667,0.594475947,0.297237973,0.146332541,1.669105542,3.612584599,8513,8255,2725,1783,66,64,26,39,23,9,420,370,177,188,8674,8425,2821,1895,138,129,50,69,30,21,11110,9968,8167,7951,2694,1760,57,49,22,34,5,1,165,173,8318,8107,2783,1864,122,107,46,59,11,10,346,304,31,23,9,15,4,5,18,8,12,15,356,318,38,31,16,22,4,10,19,11,AL,64.42,42.2580940186574,both
50,1,9,Alabama,Blount County,5,0,59816,29756,30060,95.25545005,2.037916277,0.641968704,0.443025278,0.13374348,1.487896215,10.51558112,28294,28684,657,562,200,184,145,120,50,30,3350,2940,410,480,28682,29122,823,761,405,441,207,192,67,55,26406,27120,25164,25948,585,507,146,130,135,106,18,9,358,420,25505,26335,727,678,331,352,187,167,28,26,3130,2736,72,55,54,54,10,14,32,21,52,60,3177,2787,96,83,74,89,20,25,39,29,AL,81.02,47.0024742543801,both
50,1,11,Alabama,Bullock County,5,0,9897,5460,4437,26.19985854,70.72850359,0.788117611,0.343538446,0.586036173,1.35394564,6.173587956,1593,1000,3705,3295,35,43,17,17,32,26,313,298,78,56,1663,1049,3750,3333,59,64,28,25,38,29,5147,4139,1409,798,3655,3265,9,19,13,13,3,2,58,42,1463,833,3692,3295,25,33,20,18,5,3,184,202,50,30,26,24,4,4,29,24,20,14,200,216,58,38,34,31,8,7,33,26,AL,-45.84,41.48731938971405,both
50,1,13,Alabama,Butler County,5,0,18382,8599,9783,51.40898705,45.12566641,0.516809923,1.485148515,0.059841149,1.403546948,1.751713633,4568,4882,3711,4584,46,49,144,129,5,6,171,151,125,133,4684,5005,3791,4657,83,105,163,145,9,8,8428,9632,4458,4794,3670,4542,41,39,139,125,4,6,116,126,4566,4910,3746,4613,74,91,156,139,8,8,110,88,41,42,5,10,5,4,1,0,9,7,118,95,45,44,9,14,7,6,1,0,AL,22.69,46.06136437819606,both
50,1,15,Alabama,Calhoun County,5,0,116429,56419,60010,73.66034235,22.35353735,0.528218915,0.900978279,0.136563914,2.420359189,4.758264694,41899,43863,12272,13754,318,297,433,616,84,75,2888,2652,1413,1405,43198,45155,13082,14567,740,738,756,936,171,149,53531,57358,39483,41660,12073,13575,226,221,403,558,60,59,1286,1285,40673,42849,12814,14326,598,613,698,844,122,121,2416,2203,199,179,92,76,30,58,24,16,127,120,2525,2306,268,241,142,125,58,92,49,28,AL,44.75,41.68205515807917,both
50,1,17,Alabama,Chambers County,5,0,34079,16092,17987,57.393116,39.72827841,0.451891194,0.892044954,0.05575281,1.478916635,4.131576631,9358,10201,6225,7314,78,76,181,123,14,5,715,693,236,268,9574,10444,6365,7488,160,166,217,155,30,15,15377,17294,8866,9661,6093,7240,48,51,160,117,6,4,204,221,9054,9862,6215,7385,118,123,191,142,16,11,492,540,132,74,30,25,21,6,8,1,32,47,520,582,150,103,42,43,26,13,14,4,AL,23.25,41.729510842454296,both
50,1,19,Alabama,Cherokee County,5,0,25666,12833,12833,92.37512663,4.270240785,0.822099275,0.432478766,0.050650666,2.049403881,1.916932907,11820,11889,588,508,108,103,41,70,8,5,244,248,268,258,12073,12128,712,635,240,231,74,98,16,12,12589,12585,11623,11695,587,497,89,83,40,67,1,0,249,243,11859,11921,701,617,215,207,69,90,5,5,197,194,1,11,19,20,1,3,7,5,19,15,214,207,11,18,25,24,5,8,11,7,AL,75.52,50.58832696953167,both
50,1,21,Alabama,Chilton County,5,0,46431,22819,23612,86.72869419,10.32069092,0.710732054,0.450130301,0.183067347,1.606685189,10.09024143,19789,20480,2303,2489,192,138,87,122,55,30,2576,2109,393,353,20149,20806,2539,2698,321,265,149,181,78,52,20243,21503,17570,18621,2164,2380,93,83,76,108,9,7,331,304,17876,18899,2362,2565,199,190,128,155,25,25,2219,1859,139,109,99,55,11,14,46,23,62,49,2273,1907,177,133,122,75,21,26,53,27,AL,72.09,42.48885442915294,both
50,1,23,Alabama,Choctaw County,5,0,12252,5835,6417,57.77015997,40.73620633,0.253019915,0.334639243,0.0,0.905974535,1.256937643,3501,3577,2250,2741,16,15,11,30,0,0,66,88,57,54,3557,3627,2288,2770,30,36,18,38,3,2,5769,6329,3456,3510,2232,2726,15,15,9,25,0,0,57,53,3512,3559,2270,2755,29,36,16,32,3,1,45,67,18,15,1,0,2,5,0,0,0,1,45,68,18,15,1,0,2,6,0,1,AL,23.89,54.24420502775057,both
