state_name,state_code,county_name,population,total_votes,_merge
Alaska,AK,Aleutians East Borough,3461.0,,left_only
Alaska,AK,Aleutians West Census Area,5160.0,,left_only
Alaska,AK,All,733406.0,338177.0,both
Alaska,AK,Anchorage Municipality,286075.0,,left_only
Alaska,AK,Bethel Census Area,18224.0,,left_only
Alaska,AK,Bristol Bay Borough,844.0,,left_only
Alaska,AK,Chugach Census Area,6769.0,,left_only
Alaska,AK,Copper River Census Area,2674.0,,left_only
Alaska,AK,Denali Borough,1584.0,,left_only
Alaska,AK,Dillingham Census Area,4607.0,,left_only
Alaska,AK,Fairbanks North Star Borough,94840.0,,left_only
Alaska,AK,Haines Borough,2070.0,,left_only
Alaska,AK,Hoonah-Angoon Census Area,2262.0,,left_only
Alaska,AK,Juneau City and Borough,31555.0,,left_only
Alaska,AK,Kenai Peninsula Borough,61223.0,,left_only
Alaska,AK,Ketchikan Gateway Borough,13738.0,,left_only
Alaska,AK,Kodiak Island Borough,12565.0,,left_only
Alaska,AK,Kusilvak Census Area,8001.0,,left_only
Alaska,AK,Lake and Peninsula Borough,1331.0,,left_only
Alaska,AK,Matanuska-Susitna Borough,115239.0,,left_only
Alaska,AK,Nome Census Area,9763.0,,left_only
Alaska,AK,North Slope Borough,10603.0,,left_only
Alaska,AK,Northwest Arctic Borough,7361.0,,left_only
Alaska,AK,Petersburg Borough,3427.0,,left_only
Alaska,AK,Prince of Wales-Hyder Census Area,5696.0,,left_only
Alaska,AK,Sitka City and Borough,8282.0,,left_only
Alaska,AK,Skagway Municipality,1095.0,,left_only
Alaska,AK,Southeast Fairbanks Census Area,7077.0,,left_only
,AK,State House District 1,,8228.0,right_only
,AK,State House District 10,,8427.0,right_only
,AK,State House District 11,,9497.0,right_only
,AK,State House District 12,,8228.0,right_only
,AK,State House District 13,,7271.0,right_only
,AK,State House District 14,,7114.0,right_only
,AK,State House District 15,,8958.0,right_only
,AK,State House District 16,,9273.0,right_only
,AK,State House District 17,,7397.0,right_only
,AK,State House District 18,,4614.0,right_only
,AK,State House District 19,,4796.0,right_only
,AK,State House District 2,,9105.0,right_only
,AK,State House District 20,,6965.0,right_only
,AK,State House District 21,,8695.0,right_only
,AK,State House District 22,,5254.0,right_only
,AK,State House District 23,,10217.0,right_only
,AK,State House District 24,,9716.0,right_only
,AK,State House District 25,,10063.0,right_only
,AK,State House District 26,,9156.0,right_only
,AK,State House District 27,,8592.0,right_only
,AK,State House District 28,,8926.0,right_only
,AK,State House District 29,,10126.0,right_only
,AK,State House District 3,,10626.0,right_only
,AK,State House District 30,,10013.0,right_only
,AK,State House District 31,,6715.0,right_only
,AK,State House District 32,,5625.0,right_only
,AK,State House District 33,,8564.0,right_only
,AK,State House District 34,,9595.0,right_only
,AK,State House District 35,,9280.0,right_only
,AK,State House District 36,,9171.0,right_only
,AK,State House District 37,,4129.0,right_only
,AK,State House District 38,,3586.0,right_only
,AK,State House District 39,,3870.0,right_only
,AK,State House District 4,,8852.0,right_only
,AK,State House District 40,,3050.0,right_only
,AK,State House District 5,,7679.0,right_only
,AK,State House District 6,,11478.0,right_only
,AK,State House District 7,,9290.0,right_only
,AK,State House District 8,,10526.0,right_only
,AK,State House District 9,,11430.0,right_only
Alaska,AK,Wrangell City and Borough,2064.0,,left_only
Alaska,AK,Yakutat City and Borough,687.0,,left_only
Alaska,AK,Yukon-Koyukuk Census Area,5129.0,,left_only
Alabama,AL,Autauga County,60342.0,28190.0,both
Alabama,AL,Baldwin County,253507.0,121808.0,both
Alabama,AL,Barbour County,24585.0,9832.0,both
Alabama,AL,Bibb County,21868.0,9241.0,both
Alabama,AL,Blount County,59816.0,28115.0,both
Alabama,AL,Bullock County,9897.0,4106.0,both
Alabama,AL,Butler County,18382.0,8467.0,both
Alabama,AL,Calhoun County,116429.0,48530.0,both
Alabama,AL,Chambers County,34079.0,14221.0,both
Alabama,AL,Cherokee County,25666.0,12984.0,both
Alabama,AL,Chilton County,46431.0,19728.0,both
Alabama,AL,Choctaw County,12252.0,6646.0,both
Alabama,AL,Clarke County,22337.0,11946.0,both
Alabama,AL,Clay County,14111.0,6757.0,both
Alabama,AL,Cleburne County,15639.0,7637.0,both
Alabama,AL,Coffee County,55643.0,22270.0,both
Alabama,AL,Colbert County,58361.0,27086.0,both
Alabama,AL,Conecuh County,11174.0,6043.0,both
Alabama,AL,Coosa County,10268.0,5264.0,both
Alabama,AL,Covington County,37952.0,17072.0,both
Alabama,AL,Crenshaw County,13101.0,6480.0,both
Alabama,AL,Cullman County,92016.0,43052.0,both
Alabama,AL,Dale County,49871.0,19103.0,both
Alabama,AL,Dallas County,36165.0,15528.0,both
Alabama,AL,DeKalb County,72569.0,29583.0,both
Alabama,AL,Elmore County,90441.0,41491.0,both
Alabama,AL,Escambia County,36558.0,14929.0,both
Alabama,AL,Etowah County,103241.0,46023.0,both
Alabama,AL,Fayette County,15967.0,8356.0,both
Alabama,AL,Franklin County,31802.0,12077.0,both
Alabama,AL,Geneva County,26988.0,12390.0,both
Alabama,AL,Greene County,7341.0,4035.0,both
Alabama,AL,Hale County,14888.0,7290.0,both
Alabama,AL,Henry County,17899.0,9301.0,both
Alabama,AL,Houston County,108462.0,44195.0,both
Alabama,AL,Jackson County,53467.0,23509.0,both
Alabama,AL,Jefferson County,662895.0,296741.0,both
Alabama,AL,Lamar County,13661.0,6875.0,both
Alabama,AL,Lauderdale County,96814.0,43454.0,both
Alabama,AL,Lawrence County,33502.0,16115.0,both
Alabama,AL,Lee County,183215.0,72695.0,both
Alabama,AL,Limestone County,114654.0,53096.0,both
Alabama,AL,Lowndes County,9717.0,5652.0,both
Alabama,AL,Macon County,18370.0,7820.0,both
Alabama,AL,Madison County,412600.0,196355.0,both
Alabama,AL,Marengo County,18684.0,9673.0,both
Alabama,AL,Marion County,29244.0,13523.0,both
Alabama,AL,Marshall County,100756.0,40277.0,both
Alabama,AL,Mobile County,411640.0,174545.0,both
Alabama,AL,Monroe County,19229.0,9799.0,both
Alabama,AL,Montgomery County,224980.0,89375.0,both
Alabama,AL,Morgan County,125133.0,53369.0,both
Alabama,AL,Perry County,7738.0,4457.0,both
Alabama,AL,Pickens County,18688.0,8898.0,both
Alabama,AL,Pike County,33137.0,13214.0,both
Alabama,AL,Randolph County,22786.0,11075.0,both
Alabama,AL,Russell County,58744.0,20679.0,both
Alabama,AL,Shelby County,233000.0,114043.0,both
Alabama,AL,St. Clair County,95552.0,43440.0,both
Alabama,AL,Sumter County,11727.0,5297.0,both
Alabama,AL,Talladega County,81132.0,33175.0,both
Alabama,AL,Tallapoosa County,40677.0,19980.0,both
Alabama,AL,Tuscaloosa County,237373.0,84879.0,both
Alabama,AL,Walker County,64728.0,29747.0,both
Alabama,AL,Washington County,15022.0,8430.0,both
Alabama,AL,Wilcox County,9944.0,5260.0,both
Alabama,AL,Winston County,23611.0,11129.0,both
Arkansas,AR,Arkansas County,16307.0,5547.0,both
Arkansas,AR,Ashley County,18262.0,7030.0,both
Arkansas,AR,Baxter County,42875.0,20954.0,both
Arkansas,AR,Benton County,311013.0,128595.0,both
Arkansas,AR,Boone County,38530.0,17112.0,both
Arkansas,AR,Bradley County,10104.0,3209.0,both
Arkansas,AR,Calhoun County,4641.0,2092.0,both
Arkansas,AR,Carroll County,28814.0,11538.0,both
Arkansas,AR,Chicot County,9538.0,3490.0,both
Arkansas,AR,Clark County,21274.0,7657.0,both
Arkansas,AR,Clay County,14201.0,4967.0,both
Arkansas,AR,Cleburne County,25445.0,12739.0,both
Arkansas,AR,Cleveland County,7378.0,3374.0,both
Arkansas,AR,Columbia County,22150.0,7940.0,both
Arkansas,AR,Conway County,21077.0,8541.0,both
Arkansas,AR,Craighead County,113993.0,37242.0,both
Arkansas,AR,Crawford County,61891.0,23834.0,both
Arkansas,AR,Crittenden County,47139.0,14681.0,both
Arkansas,AR,Cross County,16420.0,6534.0,both
Arkansas,AR,Dallas County,6185.0,2324.0,both
Arkansas,AR,Desha County,10479.0,3505.0,both
Arkansas,AR,Drew County,16945.0,6365.0,both
Arkansas,AR,Faulkner County,129951.0,54465.0,both
Arkansas,AR,Franklin County,17468.0,6971.0,both
Arkansas,AR,Fulton County,12421.0,5043.0,both
Arkansas,AR,Garland County,99784.0,42327.0,both
Arkansas,AR,Grant County,18383.0,8078.0,both
Arkansas,AR,Greene County,46743.0,15820.0,both
Arkansas,AR,Hempstead County,19343.0,6089.0,both
Arkansas,AR,Hot Spring County,33258.0,12283.0,both
Arkansas,AR,Howard County,12533.0,4473.0,both
Arkansas,AR,Independence County,38320.0,14011.0,both
Arkansas,AR,Izard County,14169.0,5925.0,both
Arkansas,AR,Jackson County,16784.0,4775.0,both
Arkansas,AR,Jefferson County,63661.0,21608.0,both
Arkansas,AR,Johnson County,26129.0,9059.0,both
Arkansas,AR,Lafayette County,6095.0,2325.0,both
Arkansas,AR,Lawrence County,16318.0,5692.0,both
Arkansas,AR,Lee County,8201.0,2520.0,both
Arkansas,AR,Lincoln County,12898.0,3372.0,both
Arkansas,AR,Little River County,11805.0,4899.0,both
Arkansas,AR,Logan County,21400.0,8205.0,both
Arkansas,AR,Lonoke County,75944.0,30620.0,both
Arkansas,AR,Madison County,17775.0,7501.0,both
Arkansas,AR,Marion County,17514.0,7851.0,both
Arkansas,AR,Miller County,42415.0,15803.0,both
Arkansas,AR,Mississippi County,38663.0,10717.0,both
Arkansas,AR,Monroe County,6512.0,2433.0,both
Arkansas,AR,Montgomery County,8620.0,3707.0,both
Arkansas,AR,Nevada County,8120.0,2907.0,both
Arkansas,AR,Newton County,7071.0,3770.0,both
Arkansas,AR,Ouachita County,21793.0,8626.0,both
Arkansas,AR,Perry County,10184.0,4584.0,both
Arkansas,AR,Phillips County,14961.0,4938.0,both
Arkansas,AR,Pike County,10208.0,4358.0,both
Arkansas,AR,Poinsett County,22397.0,7079.0,both
Arkansas,AR,Polk County,19436.0,8288.0,both
Arkansas,AR,Pope County,64593.0,24191.0,both
Arkansas,AR,Prairie County,8036.0,3200.0,both
Arkansas,AR,Pulaski County,400009.0,153924.0,both
Arkansas,AR,Randolph County,18907.0,6636.0,both
Arkansas,AR,Saline County,129574.0,57609.0,both
Arkansas,AR,Scott County,9851.0,3384.0,both
Arkansas,AR,Searcy County,7806.0,3869.0,both
Arkansas,AR,Sebastian County,129098.0,45452.0,both
Arkansas,AR,Sevier County,15632.0,4714.0,both
Arkansas,AR,Sharp County,17968.0,7437.0,both
Arkansas,AR,St. Francis County,22101.0,5979.0,both
