state_name,state_code,county_name,population,total_votes,turnout,college_educated,_merge
Alabama,AL,Autauga County,60342.0,28190.0,0.467170461701634,11855,both
Alabama,AL,Baldwin County,253507.0,121808.0,0.4804916629521078,58029,both
Alabama,AL,Barbour County,24585.0,9832.0,0.3999186495830791,2070,both
Alabama,AL,Bibb County,21868.0,9241.0,0.422580940186574,1915,both
Alabama,AL,Blount County,59816.0,28115.0,0.470024742543801,6562,both
Alabama,AL,Bullock County,9897.0,4106.0,0.41487319389714056,664,both
Alabama,AL,Butler County,18382.0,8467.0,0.4606136437819606,1886,both
Alabama,AL,Calhoun County,116429.0,48530.0,0.41682055158079173,16910,both
Alabama,AL,Chambers County,34079.0,14221.0,0.417295108424543,3682,both
Alabama,AL,Cherokee County,25666.0,12984.0,0.5058832696953167,3028,both
Alabama,AL,Chilton County,46431.0,19728.0,0.4248885442915294,4740,both
Alabama,AL,Choctaw County,12252.0,6646.0,0.5424420502775057,1284,both
Alabama,AL,Clarke County,22337.0,11946.0,0.5348077181358284,2573,both
Alabama,AL,Clay County,14111.0,6757.0,0.47884629012826874,1609,both
Alabama,AL,Cleburne County,15639.0,7637.0,0.4883304559115033,2014,both
Alabama,AL,Coffee County,55643.0,22270.0,0.4002300379203134,8376,both
Alabama,AL,Colbert County,58361.0,27086.0,0.46411130720858107,8606,both
Alabama,AL,Conecuh County,11174.0,6043.0,0.5408090209414713,1069,both
Alabama,AL,Coosa County,10268.0,5264.0,0.5126606934164394,1198,both
Alabama,AL,Covington County,37952.0,17072.0,0.44983136593591905,4664,both
Alabama,AL,Crenshaw County,13101.0,6480.0,0.49461873139455004,1542,both
Alabama,AL,Cullman County,92016.0,43052.0,0.4678751521474526,12218,both
Alabama,AL,Dale County,49871.0,19103.0,0.383048264522468,6961,both
Alabama,AL,Dallas County,36165.0,15528.0,0.42936540854417254,4429,both
Alabama,AL,DeKalb County,72569.0,29583.0,0.40765340572420733,7188,both
Alabama,AL,Elmore County,90441.0,41491.0,0.4587631715704161,15438,both
Alabama,AL,Escambia County,36558.0,14929.0,0.40836479019640026,3303,both
Alabama,AL,Etowah County,103241.0,46023.0,0.44578219893259463,13053,both
Alabama,AL,Fayette County,15967.0,8356.0,0.5233293668190643,1750,both
Alabama,AL,Franklin County,31802.0,12077.0,0.3797559901892963,3300,both
Alabama,AL,Geneva County,26988.0,12390.0,0.45909293019119607,2598,both
Alabama,AL,Greene County,7341.0,4035.0,0.5496526358806703,771,both
Alabama,AL,Hale County,14888.0,7290.0,0.4896560988715744,1678,both
Alabama,AL,Henry County,17899.0,9301.0,0.5196379686015978,2831,both
Alabama,AL,Houston County,108462.0,44195.0,0.4074698972912172,17350,both
Alabama,AL,Jackson County,53467.0,23509.0,0.43969177249518393,6019,both
Alabama,AL,Jefferson County,662895.0,296741.0,0.4476440461913274,171948,both
Alabama,AL,Lamar County,13661.0,6875.0,0.5032574482102335,1163,both
Alabama,AL,Lauderdale County,96814.0,43454.0,0.44884004379531883,18548,both
Alabama,AL,Lawrence County,33502.0,16115.0,0.4810160587427616,3781,both
Alabama,AL,Lee County,183215.0,72695.0,0.3967742815817482,48830,both
Alabama,AL,Limestone County,114654.0,53096.0,0.4630976677656253,23591,both
Alabama,AL,Lowndes County,9717.0,5652.0,0.5816610064834825,1043,both
Alabama,AL,Macon County,18370.0,7820.0,0.4256940664126293,2553,both
Alabama,AL,Madison County,412600.0,196355.0,0.47589675230247214,130553,both
Alabama,AL,Marengo County,18684.0,9673.0,0.5177156925711839,2737,both
Alabama,AL,Marion County,29244.0,13523.0,0.4624196416358911,2830,both
Alabama,AL,Marshall County,100756.0,40277.0,0.3997479058319108,14279,both
Alabama,AL,Mobile County,411640.0,174545.0,0.4240234185210378,73119,both
Alabama,AL,Monroe County,19229.0,9799.0,0.509594882729211,1571,both
Alabama,AL,Montgomery County,224980.0,89375.0,0.3972575340030225,53493,both
Alabama,AL,Morgan County,125133.0,53369.0,0.4264982059089129,20341,both
Alabama,AL,Perry County,7738.0,4457.0,0.5759886275523391,886,both
Alabama,AL,Pickens County,18688.0,8898.0,0.4761344178082192,2006,both
Alabama,AL,Pike County,33137.0,13214.0,0.3987687479252799,5806,both
Alabama,AL,Randolph County,22786.0,11075.0,0.4860440621434214,3275,both
Alabama,AL,Russell County,58744.0,20679.0,0.3520189295928095,7164,both
Alabama,AL,Shelby County,233000.0,114043.0,0.4894549356223176,74884,both
Alabama,AL,St. Clair County,95552.0,43440.0,0.4546215673141326,13644,both
Alabama,AL,Sumter County,11727.0,5297.0,0.4516926750234502,1406,both
Alabama,AL,Talladega County,81132.0,33175.0,0.4089015431642262,10027,both
Alabama,AL,Tallapoosa County,40677.0,19980.0,0.49118666568331,5761,both
Alabama,AL,Tuscaloosa County,237373.0,84879.0,0.35757647247159535,49295,both
Alabama,AL,Walker County,64728.0,29747.0,0.45956927450253365,7460,both
Alabama,AL,Washington County,15022.0,8430.0,0.5611769404872853,1841,both
Alabama,AL,Wilcox County,9944.0,5260.0,0.5289621882542237,868,both
Alabama,AL,Winston County,23611.0,11129.0,0.4713481004616492,2335,both
Alaska,AK,Aleutians East Borough,,,,546,right_only
Alaska,AK,Aleutians West Census Area,,,,728,right_only
Alaska,AK,All,733406.0,338177.0,0.46110476325527744,155933,both
Alaska,AK,Anchorage Municipality,,,,74090,right_only
Alaska,AK,Bethel Census Area,,,,1077,right_only
Alaska,AK,Bristol Bay Borough,,,,175,right_only
Alaska,AK,Chugach Census Area,,,,1465,right_only
Alaska,AK,Copper River Census Area,,,,525,right_only
Alaska,AK,Denali Borough,,,,393,right_only
Alaska,AK,Dillingham Census Area,,,,564,right_only
Alaska,AK,Fairbanks North Star Borough,,,,21377,right_only
Alaska,AK,Haines Borough,,,,584,right_only
Alaska,AK,Hoonah-Angoon Census Area,,,,420,right_only
Alaska,AK,Juneau City and Borough,,,,9368,right_only
Alaska,AK,Kenai Peninsula Borough,,,,12643,right_only
Alaska,AK,Ketchikan Gateway Borough,,,,2740,right_only
Alaska,AK,Kodiak Island Borough,,,,2439,right_only
Alaska,AK,Kusilvak Census Area,,,,232,right_only
Alaska,AK,Lake and Peninsula Borough,,,,134,right_only
Alaska,AK,Matanuska-Susitna Borough,,,,18084,right_only
Alaska,AK,Nome Census Area,,,,1043,right_only
Alaska,AK,North Slope Borough,,,,1112,right_only
Alaska,AK,Northwest Arctic Borough,,,,531,right_only
Alaska,AK,Petersburg Borough,,,,689,right_only
Alaska,AK,Prince of Wales-Hyder Census Area,,,,706,right_only
Alaska,AK,Sitka City and Borough,,,,2196,right_only
Alaska,AK,Skagway Municipality,,,,292,right_only
Alaska,AK,Southeast Fairbanks Census Area,,,,965,right_only
Alaska,AK,Wrangell City and Borough,,,,286,right_only
Alaska,AK,Yakutat City and Borough,,,,59,right_only
Alaska,AK,Yukon-Koyukuk Census Area,,,,470,right_only
Arizona,AZ,Apache County,65036.0,32019.0,0.49232732640383786,6615,both
Arizona,AZ,Cochise County,124640.0,58923.0,0.47274550706033375,24873,both
Arizona,AZ,Coconino County,144472.0,70067.0,0.4849867102275873,36848,both
Arizona,AZ,Gila County,54003.0,27648.0,0.5119715571357146,7825,both
Arizona,AZ,Graham County,39525.0,15183.0,0.38413662239089186,3861,both
Arizona,AZ,Greenlee County,9369.0,3308.0,0.35307930408794963,1231,both
Arizona,AZ,La Paz County,16710.0,7624.0,0.45625374027528426,1846,both
Arizona,AZ,Maricopa County,4585871.0,2053945.0,0.44788547257434846,1146516,both
Arizona,AZ,Mohave County,223682.0,110450.0,0.49378135030981485,25956,both
Arizona,AZ,Navajo County,109175.0,50706.0,0.4644469887794825,13148,both
Arizona,AZ,Pima County,1063162.0,513176.0,0.4826884331832778,271507,both
Arizona,AZ,Pinal County,484239.0,209552.0,0.432744987495844,72312,both
Arizona,AZ,Santa Cruz County,49158.0,19121.0,0.38897025916432726,7799,both
Arizona,AZ,Yavapai County,249081.0,149402.0,0.5998129122654879,56593,both
Arizona,AZ,Yuma County,213221.0,68195.0,0.3198324742872419,23556,both
Arkansas,AR,Arkansas County,16307.0,5547.0,0.34016066719813576,1832,both
Arkansas,AR,Ashley County,18262.0,7030.0,0.3849523600919943,1662,both
Arkansas,AR,Baxter County,42875.0,20954.0,0.48872303206997086,6074,both
Arkansas,AR,Benton County,311013.0,128595.0,0.41347146260767237,74335,both
Arkansas,AR,Boone County,38530.0,17112.0,0.4441214637944459,4472,both
Arkansas,AR,Bradley County,10104.0,3209.0,0.317596991290578,1197,both
Arkansas,AR,Calhoun County,4641.0,2092.0,0.45076492135315666,637,both
Arkansas,AR,Carroll County,28814.0,11538.0,0.4004303463594086,4448,both
Arkansas,AR,Chicot County,9538.0,3490.0,0.3659048018452506,1219,both
Arkansas,AR,Clark County,21274.0,7657.0,0.3599229105950926,3445,both
Arkansas,AR,Clay County,14201.0,4967.0,0.34976410111963946,1667,both
Arkansas,AR,Cleburne County,25445.0,12739.0,0.5006484574572607,3418,both
Arkansas,AR,Cleveland County,7378.0,3374.0,0.4573055028462998,873,both
Arkansas,AR,Columbia County,22150.0,7940.0,0.35846501128668173,3303,both
Arkansas,AR,Conway County,21077.0,8541.0,0.4052284480713574,2754,both
Arkansas,AR,Craighead County,113993.0,37242.0,0.3267042713149053,21600,both
Arkansas,AR,Crawford County,61891.0,23834.0,0.38509637911812705,8332,both
Arkansas,AR,Crittenden County,47139.0,14681.0,0.3114406330214896,5486,both
Arkansas,AR,Cross County,16420.0,6534.0,0.3979293544457978,1725,both
Arkansas,AR,Dallas County,6185.0,2324.0,0.3757477768795473,543,both
Arkansas,AR,Desha County,10479.0,3505.0,0.33447848077106596,1054,both
Arkansas,AR,Drew County,16945.0,6365.0,0.3756270286220124,2768,both
Arkansas,AR,Faulkner County,129951.0,54465.0,0.4191195142784588,29061,both
Arkansas,AR,Franklin County,17468.0,6971.0,0.3990725898786352,1700,both
Arkansas,AR,Fulton County,12421.0,5043.0,0.4060059576523629,1440,both
Arkansas,AR,Garland County,99784.0,42327.0,0.424186242283332,19650,both
Arkansas,AR,Grant County,18383.0,8078.0,0.4394277321438285,2793,both
Arkansas,AR,Greene County,46743.0,15820.0,0.33844639839120294,5540,both
Arkansas,AR,Hempstead County,19343.0,6089.0,0.31479088042185804,2077,both
Arkansas,AR,Hot Spring County,33258.0,12283.0,0.3693246737627037,3977,both
Arkansas,AR,Howard County,12533.0,4473.0,0.35689778983483605,1451,both
Arkansas,AR,Independence County,38320.0,14011.0,0.36563152400835075,4401,both
Arkansas,AR,Izard County,14169.0,5925.0,0.41816641964852846,2017,both
Arkansas,AR,Jackson County,16784.0,4775.0,0.28449714013346045,1643,both
Arkansas,AR,Jefferson County,63661.0,21608.0,0.339422880570522,9627,both
Arkansas,AR,Johnson County,26129.0,9059.0,0.3467028971640706,3281,both
Arkansas,AR,Lafayette County,6095.0,2325.0,0.38146021328958163,483,both
Arkansas,AR,Lawrence County,16318.0,5692.0,0.3488172570167913,1635,both
Arkansas,AR,Lee County,8201.0,2520.0,0.3072796000487745,415,both
Arkansas,AR,Lincoln County,12898.0,3372.0,0.26143588153202046,1178,both
Arkansas,AR,Little River County,11805.0,4899.0,0.4149936467598475,1513,both
Arkansas,AR,Logan County,21400.0,8205.0,0.383411214953271,2414,both
Arkansas,AR,Lonoke County,75944.0,30620.0,0.4031918255556726,10928,both
Arkansas,AR,Madison County,17775.0,7501.0,0.4219971870604782,1557,both
Arkansas,AR,Marion County,17514.0,7851.0,0.44826995546420006,2075,both
Arkansas,AR,Miller County,42415.0,15803.0,0.3725804550277025,4882,both
Arkansas,AR,Mississippi County,38663.0,10717.0,0.27719007836950055,3833,both
Arkansas,AR,Monroe County,6512.0,2433.0,0.37361793611793614,748,both
Arkansas,AR,Montgomery County,8620.0,3707.0,0.43004640371229697,1116,both
Arkansas,AR,Nevada County,8120.0,2907.0,0.35800492610837437,660,both
Arkansas,AR,Newton County,7071.0,3770.0,0.5331636260783482,762,both
Arkansas,AR,Ouachita County,21793.0,8626.0,0.3958151700087184,2458,both
Arkansas,AR,Perry County,10184.0,4584.0,0.45011783189316573,1258,both
Arkansas,AR,Phillips County,14961.0,4938.0,0.33005815119310206,1581,both
Arkansas,AR,Pike County,10208.0,4358.0,0.42692006269592475,1480,both
Arkansas,AR,Poinsett County,22397.0,7079.0,0.3160691163995178,2021,both
Arkansas,AR,Polk County,19436.0,8288.0,0.42642519036838855,2344,both
Arkansas,AR,Pope County,64593.0,24191.0,0.37451426625176104,10741,both
Arkansas,AR,Prairie County,8036.0,3200.0,0.3982080637132902,1072,both
Arkansas,AR,Pulaski County,400009.0,153924.0,0.3848013419698057,106816,both
Arkansas,AR,Randolph County,18907.0,6636.0,0.3509811181044058,1910,both
Arkansas,AR,Saline County,129574.0,57609.0,0.4446030839520274,25453,both
Arkansas,AR,Scott County,9851.0,3384.0,0.3435184245254289,827,both
Arkansas,AR,Searcy County,7806.0,3869.0,0.4956443761209326,824,both
Arkansas,AR,Sebastian County,129098.0,45452.0,0.35207361849137864,22002,both
Arkansas,AR,Sevier County,15632.0,4714.0,0.301560900716479,1185,both
Arkansas,AR,Sharp County,17968.0,7437.0,0.4139024933214604,1562,both
Arkansas,AR,St. Francis County,22101.0,5979.0,0.27053074521514864,2214,both
Arkansas,AR,Stone County,12671.0,6030.0,0.47588982716439115,1455,both
Arkansas,AR,Union County,37397.0,15448.0,0.4130812632029307,5255,both
Arkansas,AR,Van Buren County,16142.0,7621.0,0.4721224135794821,2000,both
Arkansas,AR,Washington County,261549.0,97158.0,0.37147150247181215,57720,both
Arkansas,AR,White County,78452.0,30837.0,0.39306837301789627,10656,both
Arkansas,AR,Woodruff County,5964.0,2318.0,0.3886653252850436,693,both
Arkansas,AR,Yell County,20044.0,6477.0,0.32313909399321494,2156,both
California,CA,Alameda County,1622188.0,669800.0,0.41289912143352064,635127,both
California,CA,Alpine County,1141.0,738.0,0.6468010517090271,526,both
California,CA,Amador County,41811.0,22402.0,0.5357920164549999,7349,both
California,CA,Butte County,207172.0,94523.0,0.456253740853011,46882,both
California,CA,Calaveras County,46565.0,26479.0,0.5686459787393966,8028,both
California,CA,Colusa County,22037.0,7021.0,0.3186005354630848,2140,both
California,CA,Contra Costa County,1155025.0,528904.0,0.4579156295318283,377594,both
