state_name,state_code,county_name,population,total_votes,turnout,college_educated,households_total,households_mean_income,households_median_income,families_total,families_mean_income,families_median_income,_merge
Alabama,AL,Autauga County,60342.0,28190.0,0.467170461701634,11855,22523,93367,69841,15674,109137,83452,both
Alabama,AL,Baldwin County,253507.0,121808.0,0.4804916629521078,58029,94642,100105,75019,64593,119421,92918,both
Alabama,AL,Barbour County,24585.0,9832.0,0.3999186495830791,2070,9080,64745,44290,5990,77821,60474,both
Alabama,AL,Bibb County,21868.0,9241.0,0.422580940186574,1915,7571,67735,51215,5264,79298,67222,both
Alabama,AL,Blount County,59816.0,28115.0,0.470024742543801,6562,21977,79203,61096,15625,91220,76388,both
Alabama,AL,Bullock County,9897.0,4106.0,0.41487319389714056,664,3453,51121,36723,2117,66381,45975,both
Alabama,AL,Butler County,18382.0,8467.0,0.4606136437819606,1886,7262,69162,44881,4607,85293,64429,both
Alabama,AL,Calhoun County,116429.0,48530.0,0.41682055158079173,16910,45125,71879,55826,28018,87795,71552,both
Alabama,AL,Chambers County,34079.0,14221.0,0.417295108424543,3682,13419,65673,49295,8945,76301,63313,both
Alabama,AL,Cherokee County,25666.0,12984.0,0.5058832696953167,3028,10477,71062,50769,6839,84396,66392,both
Alabama,AL,Chilton County,46431.0,19728.0,0.4248885442915294,4740,17554,75680,61873,12072,88765,74137,both
Alabama,AL,Choctaw County,12252.0,6646.0,0.5424420502775057,1284,5174,63315,44483,3212,80815,65982,both
Alabama,AL,Clarke County,22337.0,11946.0,0.5348077181358284,2573,8452,73965,49167,5314,96688,72578,both
Alabama,AL,Clay County,14111.0,6757.0,0.47884629012826874,1609,5765,71247,51852,4232,81569,61750,both
Alabama,AL,Cleburne County,15639.0,7637.0,0.4883304559115033,2014,5849,73100,53319,3909,90856,76694,both
Alabama,AL,Coffee County,55643.0,22270.0,0.4002300379203134,8376,20860,81266,64672,14012,94455,79929,both
Alabama,AL,Colbert County,58361.0,27086.0,0.46411130720858107,8606,24217,74264,56736,15427,88025,70711,both
Alabama,AL,Conecuh County,11174.0,6043.0,0.5408090209414713,1069,4528,61553,42266,2799,73709,55625,both
Alabama,AL,Coosa County,10268.0,5264.0,0.5126606934164394,1198,4201,69698,57063,2735,80488,68369,both
Alabama,AL,Covington County,37952.0,17072.0,0.44983136593591905,4664,14495,73109,50886,9579,85793,65570,both
Alabama,AL,Crenshaw County,13101.0,6480.0,0.49461873139455004,1542,5075,70635,49040,3111,90296,66523,both
Alabama,AL,Cullman County,92016.0,43052.0,0.4678751521474526,12218,34543,78002,60916,24110,91102,76098,both
Alabama,AL,Dale County,49871.0,19103.0,0.383048264522468,6961,19769,69759,53955,12374,82622,69752,both
Alabama,AL,Dallas County,36165.0,15528.0,0.42936540854417254,4429,15416,55600,36810,8848,69114,52752,both
Alabama,AL,DeKalb County,72569.0,29583.0,0.40765340572420733,7188,25946,65789,51149,18309,76151,60315,both
Alabama,AL,Elmore County,90441.0,41491.0,0.4587631715704161,15438,32529,96359,75553,23736,109244,91529,both
Alabama,AL,Escambia County,36558.0,14929.0,0.40836479019640026,3303,12781,60177,44447,8135,73260,60428,both
Alabama,AL,Etowah County,103241.0,46023.0,0.44578219893259463,13053,39160,73124,53070,25692,89260,67790,both
Alabama,AL,Fayette County,15967.0,8356.0,0.5233293668190643,1750,6051,69566,50733,4097,81764,71884,both
Alabama,AL,Franklin County,31802.0,12077.0,0.3797559901892963,3300,11593,67215,51493,7666,79379,66038,both
Alabama,AL,Geneva County,26988.0,12390.0,0.45909293019119607,2598,10550,66098,50951,7091,77532,63658,both
Alabama,AL,Greene County,7341.0,4035.0,0.5496526358806703,771,3037,48047,31495,1695,63490,43606,both
Alabama,AL,Hale County,14888.0,7290.0,0.4896560988715744,1678,5541,61740,41325,3050,81023,71159,both
Alabama,AL,Henry County,17899.0,9301.0,0.5196379686015978,2831,6684,78795,60135,4467,98725,79127,both
Alabama,AL,Houston County,108462.0,44195.0,0.4074698972912172,17350,42581,80048,57531,27734,97161,73929,both
Alabama,AL,Jackson County,53467.0,23509.0,0.43969177249518393,6019,21186,67768,49454,14103,81012,63025,both
Alabama,AL,Jefferson County,662895.0,296741.0,0.4476440461913274,171948,268911,97165,64589,163540,121396,85260,both
Alabama,AL,Lamar County,13661.0,6875.0,0.5032574482102335,1163,4987,60489,47447,3430,72201,60000,both
Alabama,AL,Lauderdale County,96814.0,43454.0,0.44884004379531883,18548,38777,78675,59082,24684,98159,79112,both
Alabama,AL,Lawrence County,33502.0,16115.0,0.4810160587427616,3781,13145,76640,60040,8971,90808,77233,both
Alabama,AL,Lee County,183215.0,72695.0,0.3967742815817482,48830,67944,86713,61123,40471,113908,88725,both
Alabama,AL,Limestone County,114654.0,53096.0,0.4630976677656253,23591,40021,105108,83534,28387,121817,101284,both
Alabama,AL,Lowndes County,9717.0,5652.0,0.5816610064834825,1043,4161,58417,35160,2535,71632,50041,both
Alabama,AL,Macon County,18370.0,7820.0,0.4256940664126293,2553,7151,61698,45951,4166,76000,54493,both
Alabama,AL,Madison County,412600.0,196355.0,0.47589675230247214,130553,162469,111962,83528,103112,136560,107322,both
Alabama,AL,Marengo County,18684.0,9673.0,0.5177156925711839,2737,7615,67077,44205,4577,91592,72769,both
Alabama,AL,Marion County,29244.0,13523.0,0.4624196416358911,2830,10874,66253,50714,6956,79755,66826,both
Alabama,AL,Marshall County,100756.0,40277.0,0.3997479058319108,14279,35963,82099,60946,25353,95117,76314,both
Alabama,AL,Mobile County,411640.0,174545.0,0.4240234185210378,73119,160507,79051,58119,101014,95784,74098,both
Alabama,AL,Monroe County,19229.0,9799.0,0.509594882729211,1571,7396,57308,40225,4469,73515,60895,both
Alabama,AL,Montgomery County,224980.0,89375.0,0.3972575340030225,53493,90785,80704,58153,54461,98519,72355,both
Alabama,AL,Morgan County,125133.0,53369.0,0.4264982059089129,20341,48752,86044,64858,32269,101807,82280,both
Alabama,AL,Perry County,7738.0,4457.0,0.5759886275523391,886,3195,42730,34368,2090,48652,37930,both
Alabama,AL,Pickens County,18688.0,8898.0,0.4761344178082192,2006,6946,66646,47014,4306,78903,61582,both
Alabama,AL,Pike County,33137.0,13214.0,0.3987687479252799,5806,12605,69002,47961,7002,94424,71889,both
Alabama,AL,Randolph County,22786.0,11075.0,0.4860440621434214,3275,9127,70749,51551,5987,85419,68045,both
Alabama,AL,Russell County,58744.0,20679.0,0.3520189295928095,7164,23784,65547,50046,14841,76418,61896,both
Alabama,AL,Shelby County,233000.0,114043.0,0.4894549356223176,74884,85414,123911,93543,61717,145408,115789,both
