state_name,population,college_educated_percent,households_total,households_median_income,poverty_percent,age_under_18_percent,age_under_5_percent,age_over_65_percent,female_percent,white_percent,black_percent,native_americans_percent,asian_percent,hawaiian_pacificislander_percent,two_or_more_races_percent,hispanic_percent,white_not_hispanic_percent,veterans,foreign_born_persons,fips_code,state_code,diff_percent,_merge
Alabama,5157699.0,27.8,1969105.0,62027.0,15.6,22.1,5.7,18.3,51.5,68.9,26.6,0.7,1.6,0.1,2.0,5.7,64.1,310187.0,3.8,"""01""",AL,30.46999999999999,both
Alaska,740133.0,31.2,267865.0,89336.0,10.4,23.9,6.3,14.4,47.5,64.2,3.7,15.6,6.8,1.7,8.1,7.5,59.0,58910.0,7.8,"""02""",AK,13.130000000000003,both
Arizona,7582384.0,32.6,2796790.0,76872.0,12.4,21.3,5.3,19.3,50.1,81.5,5.7,5.2,4.1,0.3,3.3,31.6,53.4,459818.0,12.9,"""04""",AZ,5.530000000000001,both
Arkansas,3088354.0,25.1,1189160.0,58773.0,15.7,23.0,5.9,18.0,50.7,78.4,15.6,1.1,1.9,0.5,2.5,9.2,70.2,176468.0,5.2,"""05""",AR,30.64,both
California,39431263.0,36.5,13434847.0,96334.0,12.0,21.7,5.4,16.2,50.1,70.4,6.5,1.7,16.5,0.5,4.3,40.4,34.3,1355918.0,26.7,"""06""",CA,-20.14,both
Colorado,5957493.0,44.7,2325576.0,92470.0,9.3,20.7,5.3,16.0,49.4,86.0,4.8,1.7,3.8,0.2,3.5,22.7,66.1,348913.0,9.6,"""08""",CO,-10.990000000000002,both
Connecticut,3675069.0,41.9,1420170.0,93760.0,10.3,20.0,5.0,19.1,51.0,78.0,13.1,0.8,5.2,0.1,2.8,18.6,63.3,140081.0,15.4,"""09""",CT,-14.509999999999998,both
Delaware,1051917.0,35.3,396209.0,82855.0,10.5,20.5,5.3,21.3,51.6,67.6,24.1,0.7,4.4,0.1,3.1,11.1,58.9,61582.0,10.4,"""10""",DE,-14.700000000000003,both
District of Columbia,702250.0,63.6,321556.0,106287.0,14.0,18.6,5.7,13.1,52.6,46.6,44.4,0.7,4.9,0.2,3.3,12.0,37.7,20481.0,13.3,"""11""",DC,-83.81,both
Florida,23372215.0,33.2,8550911.0,71711.0,12.3,19.4,5.0,21.7,50.9,76.7,16.9,0.6,3.2,0.1,2.5,27.4,51.9,1347330.0,21.4,"""12""",FL,13.100000000000001,both
Georgia,11180878.0,34.2,4008013.0,74664.0,13.6,23.0,5.8,15.4,51.3,58.7,33.2,0.6,4.9,0.1,2.5,11.1,49.6,608876.0,10.8,"""13""",GA,2.1899999999999977,both
