Pokemon Id,Pokedex Number,Pokemon Name,Game(s) of Origin,Generation,Alternate Form Name,Legendary Status,Legendary Type,Pre-Evolution Pokemon Id,Evolution Details,Level of Evolution,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Secondary Ability,Hidden Ability,Special Event Ability,Male Ratio,Female Ratio,M:F Ratio,Base Happiness,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Primary Egg Group,Secondary Egg Group,Egg Cycle Count
1,1,Bulbasaur,Red,1,,False,NA,,NA,,0.7,6.9,Grass,Poison,Overgrow,NA,Chlorophyll,,87.5,12.5,87.5:12.5,50,45,49,49,65,65,45,318,0,0,0,1,0,0,1,45,Medium Slow,1059860,Monster,Grass,20
2,2,Ivysaur,Red,1,,False,NA,1.0,Leveling Up,16.0,1.0,13.0,Grass,Poison,Overgrow,NA,Chlorophyll,,87.5,12.5,87.5:12.5,50,60,62,63,80,80,60,405,0,0,0,1,1,0,2,45,Medium Slow,1059860,Monster,Grass,20
3,3,Venusaur,Red,1,,False,NA,2.0,Leveling Up,32.0,2.0,100.0,Grass,Poison,Overgrow,NA,Chlorophyll,,87.5,12.5,87.5:12.5,50,80,82,83,100,100,80,525,0,0,0,2,1,0,3,45,Medium Slow,1059860,Monster,Grass,20
5,4,Charmander,Red,1,,False,NA,,NA,,0.6,8.5,Fire,NA,Blaze,NA,Solar Power,,87.5,12.5,87.5:12.5,50,39,52,43,60,50,65,309,0,0,0,0,0,1,1,45,Medium Slow,1059860,Monster,Dragon,20
6,5,Charmeleon,Red,1,,False,NA,5.0,Leveling Up,16.0,1.1,19.0,Fire,NA,Blaze,NA,Solar Power,,87.5,12.5,87.5:12.5,50,58,64,58,80,65,80,405,0,0,0,1,0,1,2,45,Medium Slow,1059860,Monster,Dragon,20
7,6,Charizard,Red,1,,False,NA,6.0,Leveling Up,36.0,1.7,90.5,Fire,Flying,Blaze,NA,Solar Power,,87.5,12.5,87.5:12.5,50,78,84,78,109,85,100,534,0,0,0,3,0,0,3,45,Medium Slow,1059860,Monster,Dragon,20
10,7,Squirtle,Red,1,,False,NA,,NA,,0.5,9.0,Water,NA,Torrent,NA,Rain Dish,,87.5,12.5,87.5:12.5,50,44,48,65,50,64,43,314,0,0,1,0,0,0,1,45,Medium Slow,1059860,Monster,Water1,20
11,8,Wartortle,Red,1,,False,NA,10.0,Leveling Up,16.0,1.0,22.5,Water,NA,Torrent,NA,Rain Dish,,87.5,12.5,87.5:12.5,50,59,63,80,65,80,58,405,0,0,1,0,1,0,2,45,Medium Slow,1059860,Monster,Water1,20
12,9,Blastoise,Red,1,,False,NA,11.0,Leveling Up,36.0,1.6,85.5,Water,NA,Torrent,NA,Rain Dish,,87.5,12.5,87.5:12.5,50,79,83,100,85,105,78,530,0,0,0,0,3,0,3,45,Medium Slow,1059860,Monster,Water1,20
17,30,Nidorina,Red,1,,False,NA,33.0,Leveling Up,16.0,0.8,20.0,Poison,NA,Poison Point,Rivalry,Hustle,,0.0,100.0,0.0:100.0,50,70,62,67,55,55,56,365,2,0,0,0,0,0,2,120,Medium Slow,1059860,No Eggs,NA,20
18,31,Nidoqueen,Red,1,,False,NA,17.0,Evolution stone,,1.3,60.0,Poison,Ground,Poison Point,Rivalry,Sheer Force,,0.0,100.0,0.0:100.0,50,90,92,87,75,85,76,505,3,0,0,0,0,0,3,45,Medium Slow,1059860,No Eggs,NA,20
19,392,Infernape,Diamond,4,,False,NA,35.0,Leveling Up,36.0,1.2,55.0,Fire,Fighting,Blaze,NA,Iron Fist,,87.5,12.5,87.5:12.5,50,76,104,71,104,71,108,534,0,1,0,1,0,1,3,45,Medium Slow,1059860,Field,Human Like,20
20,403,Shinx,Diamond,4,,False,NA,,NA,,0.5,9.5,Electric,NA,Rivalry,Intimidate,Guts,,50.0,50.0,50.0:50.0,50,45,65,34,40,34,45,263,0,1,0,0,0,0,1,235,Medium Slow,1059860,Field,NA,20
